"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119700,114950,115000,124999,119500,132000,122500,119900,125000,129949.5,129900,125000,125000,130000,135000,139900,139900,131000,140000,147000,139950,144950,147000,150000,150000,153000,149900,144900,149250,154500,150950,158000,149900,150000,150000,159000,155000,154450,154900
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139000,135000,139450,139450,139900,145000,149400,149900,149900,155000,150000,149900,150000,150000,154900,150000,149900,149900,151500,152250,159500,160000,159900,165000,162000,159900,159947.5,165000,163550,165000,169250,172950,172000,174000,174000,169900,169900,174900
"Flatbush","New York","NY","New York-Newark-Jersey City","Kings County",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299000,279000,279000,282000,285000,277000,272000,279000,275000,290000,275000,275000,289997.5,289997.5,289997.5,295000,295000,295000,289500
"Southeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",14,64900,67000,68750,65000,65500,65900,64900,64900,64900,67250,68250,63130,59995,59900,57500,59411.5,60000,61600,60000,60000,64900,62450,59999.5,59900,57700,54949.5,52000,54900,54900,55500,55000,55000,52000,50750,53000,54900,54500,55000,54950,58000,60000,60900,59900,59900,60000,60000,64925,63000,59950,56450,61950,69900,72500,69900,68000,68000,75000,74500,72000,75000,75000,75000,75000,79000,79900,79900,82000,79900,85000,85000,89450,93700,90000,90000,94700,95000,94750,95000,98580,99450,1e+05,95000,99000,102700,105000,105000,114950,115000,123143,120000,119900,120000,120000,118000,121500,124900,123900,124900,129000,133105.5,134925,130500,130500,134995,140000,139900,140000,143500,144900,143500,145000,149900,149900,153000,159000,160000,160000
"Alhambra","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89700,90000,92700,94900,94950,103500,104900,1e+05,105000,104900,104250,106000,107000,109900,109450,110000,105800,105800,105000,113500,115000,118750,120000,129800,130000,129900,130000,129900,129900,129900,134900,135000,135000,135000,139900,139900,139000,139999.5,149000,150000,149000,149000,145000,149900,152023,153900,156000,159000,153000,156200,160000,162000,160000,160000,164000,168000,169900,169900,169949.5,169400,169900,169450,170000,170000,174900,172900,169900,167000,168000
"Jamaica","New York","NY","New York-Newark-Jersey City","Queens County",16,249000,249000,240000,249000,249000,239000,240000,240000,240000,236600,225000,229000,225000,225000,219999,219000,225000,225000,219000,210000,220000,209000,209450,209000,2e+05,199999,199000,199900,195000,199000,199999,189000,185000,179900,186000,184450,186250,189000,169000,189000,189000,179000,190000,189000,187250,189250,189000,189000,199000,2e+05,225000,220000,208000,2e+05,198000,189499.5,189999,187000,189499.5,190000,190000,187000,190000,189900,179000,197900,199000,215000,217000,2e+05,210000,210000,180000,175000,199000,176944,189500,212450,209000,220000,199999.5,228000,232500,225000,199000,219000,199000,210000,210000,210250,214750,210000,210500,210250,210000,207500,225000,230500,209000,205000,189500,180000,175000,180000,189999,205100,189000,219250,199000,220000,235500,242500,245000,249000,249000,249000,235000
"Roosevelt","Fresno","CA","Fresno","Fresno County",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,110000,110000,106500,1e+05,1e+05,113900,115000,115000,113900,110000,109950,113900,115000,119000,120000,124900,127000,115000,114900,115000,120000,119000,124900,127000,125000,125000,129900,129950,129700,134900,135000,138000,137900,137800,134950,125000,130000,144900,144950,145000,149900,144900,141000,149968.5,149987,149943.5,149900,139950,139132,154900,155000,159000,155000,152257,155000
"Enterprise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",18,94900,90000,90000,92000,90000,89900,90000,90000,85000,84900,84900,87000,85000,79000,80750,80000,80000,79999,79250,79000,79000,78000,76900,76000,75000,76000,75000,77100,78900,79900,80000,79900,78450,84000,79900,85000,85500,87750,89950,90000,95000,95000,98000,1e+05,105000,108950,109900,110500,110000,110000,111000,114900,116000,110000,115000,119993.5,120000,119000,115000,128500,129000,126950,128000,128000,134900,120000,129900,137900,136000,134950,130000,134900,134900,140000,144900,144900,145000,145000,145000,146000,148819,149950,149350,144950,148500,150000,154900,154900,154900,159000,159444,159000,164500,164725,160000,159945,165000,164500,159950,158500,159925,164200,164950,163900,175000,178000,189450,193000,2e+05,205000,2e+05,209995,205000,209700,213900,209900,204495
"Williamsbridge","New York","NY","New York-Newark-Jersey City","Bronx County",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172500,175000,175000,175000,155000,155000,155000,160000,172500,164500,160000,149000,170000,174999,170000,165000,165000,162500,169000
"South Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95000,95000,99450,99900,105000,106000,109900,109900,110000,1e+05,104970,110000,110000,109900,112950,110500,109949.5,114947.5,117500,121500,121500,121000,124999,125000,125000,125000,125000,122250,125000,124900,129900,130000,134500,129900,139900,139900,145000,148500,150000,150000,155900,150000,149950,155000,150000,157000,159950,165000,169000,169249.5,169450,169000,169000,170000,174900,175000,175000,180000,179999,180000,184000,182000,181077.5,181000,187000,187908.5,189000,189900,190000,192000,190000
