"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Gulf Shores","AL","Daphne-Fairhope-Foley","Baldwin County",1797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132950,136000,139000,127450,123700,134000,131950,125000,129900,138500,134000,134000,145000,129900,139900,127500,127400,138900,147700,148500,159450
"Beech Grove","IN","Indianapolis-Carmel-Anderson","Marion County",1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84100,90000,94950,89900,89931,89900,90000,88700,89900,98450,95000,93500,98750,106900,114899,112900
"Williamstown","NJ","Philadelphia-Camden-Wilmington","Gloucester County",1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121200,121500,121500,119900,127050,125000,119450,126950,124900,122450,129900,119700,126000,129100,130000,129950,130000,134900,124950,121938.5,128300,129100,125900,129890,129890,139900,145000,139900,134000,137907,140000,139900
"Middle Island","NY","New York-Newark-Jersey City","Suffolk County",1800,189000,189000,185000,189945,189950,189450,187500,179990,189000,189000,189000,189900,189000,179990,194450,194990,189900,189900,179900,179900,179945,179900,174875,179900,159990,159000,149945,145000,149990,159900,169425,169850,171000,159990,159990,159990,149850,140000,135000,135000,129495,129000,136950,149495,150000,149945,150000,140000,141250,149990,154750,168000,173500,179900,179994.5,183499.5,188700,165000,167450,169900,169900,175000,179890,175000,159900,169499.5,159000,158800,145000,143950,145900,145900,157900,166500,152450,159900,159945,174875,179900,149425,161250,179990,179990,172445,169900,172445,159000,169900,169900,179000,182500,179999.5,179700,198900,192500,184999,167450,173446.5,165990,176812,199990,201900,203900,199990,204445,202551,209450,217450,189900,199999,2e+05,205000,209000,228500,234900,208000,238270
"Rathdrum","ID","Coeur d'Alene","Kootenai County",1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,173500,167450,161000,169999,175497,176374,169999,189900,202450,205000,198000,2e+05,209750,225000,209950,229900,229900,235000,240000,249900,247000,239500,239696,240000,235500,233750,239000,239450,239450,250000
"Mashpee","MA","Barnstable Town","Barnstable County",1802,219000,219450,218500,219900,220000,218500,219800,216999.5,214999,214999,213850,211350,199900,199000,199700,199000,199000,199000,197600,194500,189900,189900,189900,189900,199000,189000,198900,189000,184900,188950,182450,179900,182500,185125,185250,187125,195000,199000,199000,203950,209900,199950,2e+05,219000,219000,214950,219000,220000,220000,225000,225000,229450,225000,227900,229000,219900,225000,227900,232900,229000,229900,214900,224900,236900,231950,231950,234900,233450,220000,239500,239900,234900,229000,236250,239900,232000,232450,233500,234900,234900,224900,234900,230950,236125,234150,220450,223050,229900,249950,250000,249999,249999,267500,250000,247000,246000,248000,249051,256950,269610.5,259900,275000,272450,289000,289900,299900,299900,299900,289900,278900,279000,279450,289900,299000,310000,309900,307450
"Willits","CA","Ukiah","Mendocino County",1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259400,249500,269500,267000,249000,249500,259900,262450,267000,262400,259800,262400,250000,255750,259900,269500,262400
"Metuchen","NJ","New York-Newark-Jersey City","Middlesex County",1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294000,279997.5,280000,270500,299000,267750,269900,270500,298000,289900,299888,3e+05,299500,282253
"Cadiz","KY","Clarksville","Trigg County",1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74900,74700,74900,74700,72500,72000,72250,71250,74900,72250,74900,72000,77900,79700,79900,79900,84000,77250,75500,77000,82400,79900,75900,74900,79000,79000,75500,69950,74950,71950,65000,69900,65000,66950,64450,59900,61950,64100,66500,73450,74950,72900,74450,72900,74950,79000,79900,80500,79900,79950,80000,79900,79439.5,79900,80950,84500,84500,84900,84900,84950,85000,84500,82500,81250,85000,86000
"Kewanee","IL","Davenport-Moline-Rock Island","Henry County",1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37500,36900,36900,37000,39900,39900,39900,39900,43350,43900,43900,44500,37250,37500,42900,42500,44500,39900,39900,39250,39000,44900,45000,46500,45000,45000,42600,40950,39900,40700,45000,42875,45450,48450,48450,52900,52950,54000,49900,55000,49500,52500,49900,49900,49500,49500,52400,49450,44950,44500,52000,52000,54000,50750,44400,46500,39000,44000,44500,44900,47500,49000,48450
"Beekman","NY","New York-Newark-Jersey City","Dutchess County",1807,249000,240000,234000,230000,230000,229000,219900,219000,219000,219000,219000,209950,212500,209900,212400,200900,199700,199700,215000,199900,199000,199900,199000,194450,199900,199900,199000,189323.5,185000,179876,178500,179000,179250,179500,169589,172257,169589,174925,174962.5,169589,163250,163250,172462.5,176500,174900,174950,170257.5,175000,178000,177450,170000,169000,172745.5,169900,170615,173950,179900,175000,175000,174900,174900,170000,167000,170000,172500,174687,179000,175750,171200,179900,179000,160500,164500,163250,164500,164500,162000,170000,179888,177438,175000,195000,187450,199930,195000,189995,189981,215000,225000,229000,229000,220000,209000,219000,242499.5,231995,209450,209950,209900,225000,227000,210000,210000,199950,205000,205000,2e+05,220000,217450,227500,234000,219900,219876,219938,209000,204900,209876
"Morehead City","NC","Morehead City","Carteret County",1808,149000,142000,137500,137250,139900,139950,139900,129950,141200,143500,129900,131000,131750,141950,139900,129950,137000,127415,129000,127900,124950,124900,119900,119000,116900,124900,124900,122250,119500,119950,119700,121500,122200,119000,114900,110500,109000,109995,114950,115000,119700,119500,118000,124500,125000,124700,120200,118700,114950,109900,109900,109900,119000,119000,120950,125000,119900,120950,117250,113760,109922.5,109900,114500,109500,107000,106000,119500,114900,109500,114900,112500,112500,113750,101900,106500,111000,117250,119200,119900,119900,122500,124950,125000,118000,109750,110890,115000,118000,116500,123950,118950,123950,125000,129900,129900,127450,124900,117450,109900,109000,121500,118900,119450,118900,104000,105000,112500,113500,116500,116000,114750,126950,125000,129950,134310,139900,139900
"Clayton","CA","San Francisco-Oakland-Hayward","Contra Costa County",1809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663500,629500,668000,674000,679000,679000,659000,635000,579000,574000,594450,584950,576975,549000,549000,549000,575000,565000,550000
"Cromwell","CT","Hartford-West Hartford-East Hartford","Middlesex County",1810,,,167900,163950,149900,153700,149900,139900,139900,138900,139900,138950,135000,135000,138250,135000,134900,133400,132000,134900,129900,129900,129900,127200,129500,124900,122000,120000,118200,121500,124700,124900,123450,124400,123450,123900,124950,122900,125000,125000,125000,124950,119000,129900,129000,137000,128000,124950,129000,124000,126950,132400,134900,135949.5,134950,139900,134900,129950,134900,132450,129900,129950,129900,127200,125000,127750,129000,129900,129900,130900,127450,127450,129350,129900,131950,133900,138750,134400,129900,134900,134900,140199.5,144900,139000,129900,129900,135950,137700,139900,140400,141150,139900,140000,146450,142450,139900,132500,139950,127200,123237.5,115000,134900,129700,125000,122400,114000,113950,124900,127450,129900,140400,124900,126900,132200,129900,130000,142450
"Warrensville Heights","OH","Cleveland-Elyria","Cuyahoga County",1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41200,45000,44900,44900,50000,46500,48000,45700,49900,47200,48000,47200,49700,51500,52000,55900,57684,57684,58000,60000,59900,57200,61950,64950,59950,58250,49900,47288.5,40000
"Roselle Park","NJ","New York-Newark-Jersey City","Union County",1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279900,279900,269000,274999,284000,279000,259323,259900,259900,285000,282000,269900,275000,280087,279999,289900
"North Palm Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99950,104950,109888,108444,107444,104500,110000,113700,118394,115950,116900,117950,119900,124450,119900,119700,122900,119000,122900,120950,129950,133500,140000,143500,142500,140000,140000,142000,138888.5,138700,135000,135000,132500,130000,140000,133700,135000,140000,140000,140000,140000,149900,141750,142500,154499.5,158500,159950,153700,149450,159000,154000,160000,158500,151500,159500,157750,158000
"North Adams","MA","Pittsfield","Berkshire County",1814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98950,95750,96200,87900,89900,91324,89900,84950,85000,85000,85000,95000
"Riverdale","IL","Chicago-Naperville-Elgin","Cook County",1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48900,47250,45000,44900,44900,45000,44990,44900,49450,51000,51000,49900,49900,54000,54450
