"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Lancaster County","PA","Lancaster","42","071",119,122900,119900,124900,124900,125348,124900,121455.5,124800,124900,119990,119900,118500,115550,109900,113350,115000,115000,115450,115000,114900,114900,115000,117500,116700,115450,116700,115000,115900,109900,109900,110100,109945,110900,110000,109900,109900,109900,112900,110000,113950,110000,113000,112000,114900,112250,110000,110000,112600,109950,109900,109000,109900,111900,109900,110000,113900,109900,113000,112900,112900,112900,114900,115000,115000,119900,119900,119900,119900,119900,120000,119900,119900,118950,118900,119900,121900,119900,119900,119900,120000,120000,120000,119900,120000,121450,129900,129900,129900,129000,127000,127900,127900,124900,127000,124900,124900,122900,125500,129900,130950,135000,135750,139500,139000,138000,135000,134700,134950,139900,135000,144900,144900,145000,145900,145450,145000,145450
"Douglas County","NE","Omaha-Council Bluffs","31","055",120,68946,69900,69500,70000,69900,69500,69900,69900,69900,65000,65000,64900,62900,63000,64995,60000,62550,63250,63000,62000,62900,60000,59950,59900,59950,59900,60000,59900,59900,60000,62250,60000,60000,60000,60000,60000,60000,61000,63500,62975,65000,65000,65000,64900,65000,64000,64000,63000,64000,65000,65000,65000,64900,70000,70000,70000,69000,67000,65000,65000,68950,69000,69999,70000,74450,73750,74900,72700,70000,69900,69000,69700,69900,72250,69900,70700,70000,72000,75000,77500,75000,75000,76000,75000,74947.5,78500,80000,79900,79900,84288,79522.5,79900,85000,84900,83000,75000,74999.5,78500,80000,85000,85000,85000,89900,96000,97500,98000,95000,90000,95000,90000,90000,95000,94900,94500,95000,99900,99900
"Utah County","UT","Provo-Orem","49","049",121,159900,159900,159900,159900,159000,154999.5,155000,154900,152950,149900,149900,146900,144000,139900,139900,137900,138000,137500,137000,135880,133000,129900,129900,129900,129900,129900,129900,129900,129900,129900,129900,129900,134900,134900,134900,134500,134900,135450,139000,137000,139900,140000,145000,146900,149900,150000,150000,153550,152000,150000,154900,155000,155000,155000,154900,154900,154900,157900,153448.5,154900,159000,159900,159500,159900,159900,162000,167000,165000,168675,168000,169900,169900,169900,170000,175000,174900,175000,179450,179900,184900,185000,194900,194699.5,192900,194699.5,195000,198000,194000,190000,199000,198000,209900,215000,210900,209949.5,212200,215000,220000,220400,224900,228900,229900,232900,236450,239990,244000,245000,245000,254945,259900,259900,265000,269000,259900,255000,255000,259900
"Kane County","IL","Chicago-Naperville-Elgin","17","089",122,110000,110700,113500,114900,110000,109400,108000,107000,104000,99900,99900,94900,89900,79900,89900,87250,85500,85000,84900,84900,84900,79900,80000,79900,79900,79000,79900,79900,79000,78600,75000,75000,78000,78650,78000,77000,75600,77900,78000,79000,79900,79900,80000,80000,84000,84000,84990,84900,83000,85000,89000,89900,90000,94900,95749.5,95000,95000,99900,97750,99900,99900,99900,1e+05,104900,108825,107900,107500,108525,107990,105000,104900,110000,109900,110250,114900,115000,115000,115950,122900,124000,124900,124900,124667.5,122500,124900,125000,125000,129800,130000,134900,134900,134900,134900,134500,131120,134900,134990,137600,140000,145000,149900,149900,149900,149900,149000,147900,145000,145000,148000,149000,149900,149900,149900,149895,149900,148000,149700
"Stanislaus County","CA","Modesto","06","099",123,85000,84900,84900,84900,85000,85000,86310,85950,89000,89000,89000,89000,86500,79000,85250,85000,85000,87250,82500,80000,79900,80000,79650,79900,79900,79900,79900,80000,84000,83425,84900,83950,80000,85000,84000,85000,87000,89995.5,94450,95000,97900,99900,109000,110000,114975,119450,120000,120000,125000,127500,129900,130000,130000,135388.5,139900,135000,139000,144900,140000,150000,149838.5,150000,154925,156249.5,155000,159900,160000,159900,164900,165000,169900,174000,167900,168500,169000,169900,169900,177225,179900,180000,183274,185000,189900,189576.5,190000,189999.5,193500,199000,201495,205896,209000,209900,209925,210000,214450,215000,215900,216500,219999,219925,225000,224900,225000,229996,229950,235000,235000,234950,235000,235000,239000,235000,239887.5,239900,239700,239000,239900
"Camden County","NJ","Philadelphia-Camden-Wilmington","34","007",124,112500,115000,114900,109900,107000,109000,107900,106950,105000,105000,105000,102000,1e+05,1e+05,104500,99900,99850,99500,99500,95000,99000,98500,96900,97700,97900,94000,94000,93500,92647,90000,89999.5,89900,89900,89900,89900,89900,89889,87000,89000,89900,89900,89900,89800,89000,89000,89900,89500,89000,89000,88200,87500,89000,89000,89900,89900,89900,89900,94775,94810,90000,91500,90000,90000,89900,89900,89900,89000,85900,84990,84950.5,84900,84900,84500,84900,85000,84900,85000,87900,89900,89900,89000,89900,89900,89000,93950,92900,93750,94900,95000,95000,91900,93050,94550,92997.5,91873.5,94500,94900,95793,98900,104000,102512,110000,112900,112900,110000,110000,110000,110000,114900,110390,114900,115000,114678,113900,112900,111438,112907.5
"Ramsey County","MN","Minneapolis-St. Paul-Bloomington","27","123",125,115000,114900,115000,114900,110000,110000,109900,111995,108000,103900,99900,99900,97350,90000,89838.5,89250,89999.5,89900,89650,87470,89000,87800,85000,84000,79900,79900,82900,82900,84900,85000,89000,89500,89500,89900,89900,91000,95000,95000,99900,102000,110000,114900,115000,115000,118000,115000,117000,115000,114700,117511,119900,122450,124900,124900,124900,125000,128800,124999,124900,124000,124444,125000,126900,129250,134900,137500,139850,139900,139900,139900,139900,137900,134900,134900,139000,144900,148000,149850,149900,149900,149900,149900,149900,145000,145000,149900,155900,159900,160000,165000,165000,164900,165000,165000,164900,164500,159900,160000,165000,169900,172500,175000,179400,175000,174900,174900,179900,174999.5,173000,179000,179900,188900,186702.5,187000,188000,185000,186720
"Passaic County","NJ","New York-Newark-Jersey City","34","031",126,240000,239900,240000,239900,239000,239900,239000,235000,235000,230000,225000,220000,216394,212289,209888,209900,211000,215000,214999,214900,209900,2e+05,199900,199900,199000,198000,190900,189900,190000,190450,190000,193900,196900,195000,195000,189900,192000,190000,189000,194844,189900,188000,184900,185164,189000,189000,179900,179900,185000,185000,189900,195000,199000,199000,199000,199000,199900,199000,199000,189900,189000,189000,189000,195000,199894,2e+05,199900,199900,199900,199000,199000,194900,189900,189900,189900,194900,199000,199900,196200,194200,189900,189900,189900,185000,189000,189000,190000,199000,199900,199900,203559,209900,215000,219900,218680,224160.5,220000,220578.5,224900,229000,229900,239000,240000,243000,240000,239900,244900,250000,250000,249900,259000,269000,268250,265000,264900,259900,260000
"Chester County","PA","Philadelphia-Camden-Wilmington","42","029",127,112450,110000,119000,119000,119900,115000,114900,114700,119900,117900,124900,119900,120000,104900,105668,99900,102500,109700,114900,109500,104450,109500,109900,106200,104900,99900,99900,99900,99900,99900,99900,99500,99900,99400,99900,99400,99650,1e+05,99900,96450,99900,95000,94835,93000,99000,96450,93000,90000,91900,93500,95000,97000,94950,98000,94900,94900,95500,99900,99900,95000,94900,90000,92900,95000,95500,93000,97450,95000,104950,104900,104500,103680,99000,99900,105950,106000,102000,106150,102000,1e+05,113000,114900,114250,110000,113700,113900,115000,119900,115000,119900,119000,119900,125000,125000,129675,125000,125960,124900,125000,127000,124900,130000,134900,130000,130000,129900,129900,125000,135000,139900,139900,139900,139900,139900,139900,139900,135000
"Sedgwick County","KS","Wichita","20","173",128,61000,62000,62000,62500,61950,62000,61900,62500,62500,64500,62000,59900,59900,58900,59950,60000,62000,60000,60000,59900,59900,59900,59900,59500,58100,58000,58000,57000,58950,59250,58950,58500,57900,59000,59900,59500,57900,57900,56700,58150,58250,59000,59000,59225,59500,58900,58850,58000,57990,59000,59400,59500,59000,59000,59000,59900,59900,59900,59900,59900,60000,59900,59900,59990,59900,59500,59900,59900,59900,59900,59900,59900,59500,58900,57900,58950,58900,60000,60000,61000,62900,62000,60000,62900,62900,64900,63900,63500,64900,65000,64900,64900,64900,64950,65000,64900,65000,64950,65000,64900,65000,68500,68500,69500,69681,68000,68900,68900,68900,69900,69500,69900,68000,69000,69000,69900,70000
