"RegionName","State","Metro","CountyName","SizeRank","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.6039886039886,2.6171185372005,2.76923076923077,3.08333333333333,3.20512820512821,3.13392857142857,3.2,3,2.68181818181818,2.6528125,2.38722222222222,2.40076849183477,2.5,2.33782051282051,2.66633333333333,3.07692307692308,2.79824561403509,2.84242424242424,3.30996884735203,3.2,3
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32254243979471,1.24781678235758,1.27737226277372,1.38240501171648,1.38633063036821,1.48571428571429,1.52191807633161,1.45945945945946,1.46475434848947,1.45569620253165,1.44262253422885,1.36861313868613,1.40492686682063,1.3966183087619,1.44476557482338,1.41184573002755,1.39519531949015,1.46981546334557,1.50793650793651,1.53006424719603,1.57352299681683,1.54716854205119,1.508078994614,1.52517162471396,1.58777090075385,1.50375939849624,1.48011052054332,1.41335695577049,1.48802983384943,1.4341763890243,1.5008487855837,1.61016949152542,1.59090909090909,1.64068629879777
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.929781577140375,0.967429861335053,0.945763200848264,0.893487186172456,0.79347179051082,0.805267502883841,0.795711482679251,0.793537167022406,0.767966360856269,0.776446280991736,0.80536007766941,0.896345667662606,0.953261726638075,0.930049278300073,0.901617608061522,0.786163522012579,0.839278220730172,0.874050125610043,0.878364824725715,0.877674163466813,0.933488914819137,0.94642284247674,0.940832113736149,0.866393794918988,0.880662171403832,0.879330593071051,0.935070146069279,0.895264334043602,0.872760679834635,0.811188811188811,0.870384197729387,0.860750350696283,0.862600123228589,0.852882342244044,0.905040378724589,0.905581834252258,0.92213291321214,0.875486381322957,0.901510029299076,0.926601909818796,0.880818619582664,0.886699507389163,0.864714513096276,0.864779874213837,0.864442740665662,0.836972343522562,0.864779874213837,0.872334683607869,0.914262494920764,0.866393794918988,0.914262494920764,0.874681933842239,0.864714513096276,0.884637233021915,0.88764307404812,0.873942223519113,0.868443036327077,0.872760679834635,0.910546980051828,0.966429298067141,0.985378258105531,0.925457259368326,0.933014354066986,0.953871039177362
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,,,,,,,,,,,,,,,0.9375,0.95,1.06436638591118,0.9512439165178,1.00308641975309,1,0.986742424242424,1.07407407407407,1,0.959423355226539,0.941176470588235,0.90625,0.945179584120983,0.903125,0.90625,0.911764705882353,1.04960013612387,1.01851851851852,1,0.9,0.917048929663609,0.952129434004225,0.940972222222222,0.939764492753623,0.894444444444444,0.898077883175237,0.888888888888889,0.944444444444444,1.04364471669219,1.11027063371995,1.04364471669219,1.09875,1.06527777777778,1.03858481262327,1,1.03979166666667,1.04563188215562,1.015625,1.04761904761905,1.07212643678161,1.07758620689655,1.08333333333333,1.09636904761905,1.0952380952381,1.08695652173913,1.03441814595661,1.03846153846154,1.03846153846154,1.11538461538462,1.08125,1.06190476190476,1.05634920634921,1.22222222222222,1.135,1.23486111111111,1.03698224852071,0.983086680761099,1.04761904761905,0.928322837255552,0.983218249075216,1.02775147928994,1.05727853420743,1.08166666666667,1.0952380952381,1.125,1.15833333333333,1.18614718614719,1.16781609195402,1.0952380952381,1.06436546104509,1.04166666666667,1.05277777777778,1.05555555555556,1.09761904761905,1.1,1.25661375661376,1.28571428571429,1.40178571428571,1.3109559613319,1.18181818181818,1.13961038961039,1.19825,1.15096724456317,1.2,1.30909090909091,1.30909090909091,1.25786163522013,1.38461538461538,1.47776679841897,1.4,1.55777777777778,1.5,1.33333333333333
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,0.630008231968199,0.628708296387505,0.611708023455378,0.611708023455378,0.617474529175671,0.66264719818954,0.589171974522293,0.540569337575151,0.552579795666004,0.590868189592812,0.6428219801524,0.641422862020798,0.634379394017788,0.60894014098855,0.59984520123839,0.593388429752066,0.576166920345003,0.580764770645514,0.640797680271365,0.576166920345003,0.573630136986301,0.588235294117647,0.6,0.603280194818275,0.653223516046578,0.65464876230266,0.655091917128684,0.623459998459998,0.616397210014918,0.603424080830761,0.607734806629834,0.607734806629834,0.603424080830761,0.594325153374233,0.592521226476146,0.590634240340211,0.614906364353878,0.622607937301279,0.651176877812392,0.643245078071962,0.614478551736677,0.597403976807817,0.594325153374233,0.612896425170883,0.612896425170883,0.623162135716457,0.645588235294118,0.646175340551869,0.644930132568972,0.642123287671233,0.607734806629834,0.611244452495245,0.6004828002414,0.599279062781616,0.594325153374233,0.608215229401874,0.637987604812249,0.615551949560206,0.651769087523277,0.630304786889805,0.603424080830761,0.675912921348315,0.644653761475512,0.625601539942252,0.665941832019571,0.60195344053608,0.657451112609575,0.629889928507567,0.666087460179554,0.669153536882084,0.666423428009167,0.663639538945162,0.665507108488065,0.675,0.689559584189991,0.696067581587982,0.654705185955186,0.653228816722658,0.675272282020335,0.656691852244609,0.663919413919414,0.69856793573175,0.676742612226483,0.664525975909882,0.680337590071031,0.680391653722858,0.657854803698555,0.659159571546278,0.678401173450678,0.63230299090179,0.639819345126082,0.666666666666667,0.656391733191702,0.662866642916518,0.661911081619111,0.699513381995134,0.695322376738306,0.698239222829387,0.708683219416934,0.688008483801912,0.658419792498005
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,0.634805410563442,0.655669818415404,0.707371556217424,0.678066037735849,0.664130548126702,0.634280957996017,0.622633103141011,0.643217161895231,0.657731386156042,0.639318060735216,0.647668393782383,0.651611486703773,0.666969972702457,0.653261333062495,0.646691097219228,0.62829794543505,0.640310544512491,0.641559424678274,0.628431075981377,0.632538982053545,0.625,0.614262560777958,0.621414913957935,0.619024856596558,0.617210691188063,0.625523012552301,0.607171964140179,0.606060606060606,0.618023976849938,0.614113443501563,0.605095541401274,0.61139971317465,0.620107505929867,0.619220607661823,0.613225682429835,0.613999181334425,0.621380846325167,0.620389000670691,0.617529880478088,0.615427054036795,0.618516569661305,0.626405396723418,0.621875,0.621875,0.627386797599564,0.633567368772986,0.630366018978762,0.636942675159236,0.62671905697446,0.640737410071942,0.625323350504212,0.615006150061501,0.613340188281174,0.618631439117445,0.616067028092656,0.6367705274474,0.638194247795104,0.622085485961959,0.636978579481398,0.643208475217556,0.650162540635159,0.649350649350649,0.638226402418542,0.638036809815951,0.648202710665881,0.650150724707944,0.657849230202928,0.669045495093666,0.66661708353915,0.683060109289617,0.690715482172769,0.662089259440902,0.684934129901961,0.659484414456298,0.664280256740567,0.659133709981168,0.649828735799462,0.670241286863271,0.658179689786362,0.686641697877653,0.698488757832658,0.71305002052301,0.707748380153685,0.70764449116674,0.703888649417093,0.706436420722135,0.707825403067243,0.719745222929936,0.719267654751526,0.717662632375189,0.715866208533515,0.721333696085195,0.724956203217073,0.725580683817343,0.738493916215669,0.731596841491738,0.755420815557152,0.752258232253691,0.744511058993659,0.762268033342716,0.766413152491808,0.769809666264318,0.75412308681354,0.76818324662174,0.792441328863151,0.805155066901774,0.795505877271727,0.782290279627164,0.786455724004778,0.784425115900907
"San Diego","CA","San Diego-Carlsbad","San Diego County",7,,,,,,1.23332695315223,1.3471470732907,1.3785046728972,1.4622398073284,1.42510133917188,1.4625992478061,1.39623620275866,1.35277579530825,1.35912241133888,1.31500987491771,1.34725496800269,1.28317293671624,1.2883834808223,1.28928823433627,1.28963762659996,1.27203347831233,1.27050498552589,1.30684788290643,1.27036419186378,1.19567352099911,1.21336568975173,1.19521912350598,1.15633672525439,1.24480369515012,1.26526129077671,1.26404494382022,1.29645635263613,1.29889730414455,1.26962169259446,1.33598635588403,1.36804410109686,1.35577233150597,1.34462522239417,1.29189669266143,1.2784023562372,1.33262260127932,1.36561199994036,1.31361128142244,1.31361128142244,1.31294443074681,1.44782015370251,1.36077960596003,1.42767220190636,1.42857142857143,1.42196762286598,1.42567841231268,1.33388949878312,1.41757879139463,1.47590598650355,1.45572179539021,1.44982904525528,1.50776728601889,1.42857142857143,1.46608873023967,1.36885444343797,1.46949203950176,1.38180272108844,1.37512829321255,1.43391521197007,1.3747758517633,1.42210730446025,1.41865719819238,1.37992253066495,1.38528678304239,1.41620879120879,1.47883732789393,1.42414972268783,1.42128279883382,1.42857142857143,1.27979382191438,1.43357757247531,1.61849100174422,1.64171493609137,1.75381624452358,1.62975344755537,1.56780768225764,1.6220294228593,1.69937712344281,1.61285588494276,1.5812812276945,1.54823989569752,1.5018404154405,1.5018404154405,1.52983171851096,1.75239424947198,1.79848198124074,1.69995750106247,1.75011413787856,1.67373354162017,1.73621687480963,1.70704845814978,1.70489770613763,1.66771554436753,1.56634658922042,1.53074689891792,1.63568773234201,1.7593488641732,1.95350326685488,1.86548473020351,1.89614935822637,1.87411598302687,1.82351142215155,1.77008332730313,1.70720299345182,1.77724141856698
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51144059687437,1.72143974960876,1.68701894522374,1.71636181408168,1.74512987012987,1.79569034317638,1.85097294731846,1.72004132231405,1.72574626865672,1.85231366157095,1.86138613861386,1.77151153904937,1.87178287318671,1.72735206680894,1.75496688741722,1.82370820668693,1.78893330844749,1.94763729246488,1.80700098629392,1.77678746954101,1.7585893486407,1.84197770237518,1.75770123381326,1.64915572232645,1.86011904761905,1.85495664315109,1.88426533767134,1.88238527067876,1.76733780760626,1.87929837101971,1.89818809318378,1.89163193331196,1.88679245283019
"Jacksonville","FL","Jacksonville","Duval County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.664780256011388,0.705624345502474,0.677323498762537,0.682805710738672,0.710547826915735,0.713851761846902,0.733645001439634,0.708868144690782,0.69286862876301,0.713806327900288,0.696864111498258,0.69101678183613,0.687810470003821,0.648547781766084,0.621255824273353,0.672823218997362,0.644208409418116,0.679332440871263,0.679632900779493,0.63837776943297,0.653270543882118,0.654945785589871,0.669394912695366,0.668674698795181,0.670675300647549,0.698435277382646,0.705722786328419,0.704225352112676,0.680727023319616,0.681474003028773,0.70594499345679,0.706851473097244,0.709469899208659
"Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.646123260437376,0.683489304812834,0.688107178204121,0.739466066259247,0.696520203518879,0.689986672824213,0.71768260388216,0.700946921955118,0.700382897255903,0.687361419068736,0.681615681615682,0.665227629513344,0.64624894633324,0.653935185185185,0.644486692015209,0.680788838640632,0.681967664386116,0.717566016073479,0.735308610334491,0.71406402411989,0.683374844333748,0.675847457627119,0.709467317980926,0.703491401771756,0.721739130434783,0.711912328397484,0.732484457197513,0.744329192546584,0.732232588192091,0.74881366292253,0.762720538542067,0.739810161920715,0.73458904109589
