SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
36,61,West Virginia,State,WV,1549,1422,1612,1676,2261,1897,2228,1990,1395,1812,1396,1242,1308,1120,1606,2354,2163,1952,2115,1799,1436,1646,1253,966,1407,1367,1511,2731,1941,2041,2111,1662,2052,1557,1176,1071,1193,1234,2160,2120,2232,2153,2108,2191,1688,1480,1422,932,1236,1259,1793,2040,2452,2146,1788,2134,1656,1583,1366,923,1525,1748,1985,1923,2324,2364,1932,2051,1564,1774,1211,898,1411,1387,1606,1856,2068,1909,2156,1857,1523
37,38,Nebraska,State,NE,1283,1506,1795,1679,2106,2063,2407,2022,1498,2053,1460,1133,1425,1487,1814,2430,2383,1916,2464,1974,1557,1867,1283,1094,1412,1529,1970,2121,1932,2335,2577,1981,2138,1791,1462,1161,1376,1419,2236,2187,2173,2351,2064,2348,1962,1601,1515,943,1234,1299,1876,1873,2291,2197,1837,2084,1835,1620,1434,1106,1535,1510,1884,2020,2529,2487,2071,2159,1739,2116,1460,801,1510,1287,1423,1951,2331,2122,2376,2342,1842
38,20,Idaho,State,ID,2259,2384,2733,2996,3704,3519,3803,3307,2509,2981,2269,1830,2561,2073,2925,3926,4084,3295,3567,2935,2973,2377,1791,2160,2202,2581,3064,3626,3509,3720,3602,2912,2761,2213,1768,1687,1929,2365,3446,3451,3703,3751,3282,3626,2619,1930,1955,1444,1296,1601,2769,2819,3815,3487,3069,3501,2714,2048,1838,1501,1907,2310,2505,2911,3726,3531,2707,3055,2209,2375,1599,1072,1775,1728,2018,2723,3272,2976,3404,2843,2150
39,18,Hawaii,State,HI,1893,1391,1251,1296,1930,1920,1578,1501,1134,1549,1337,1038,1545,1310,1544,1639,1398,1358,1600,1236,1204,1424,1261,1363,1533,1301,1514,2450,2004,2169,2223,1469,1722,1652,1445,2646,1640,1590,2060,1673,1710,1742,1621,1882,1715,1641,1743,1387,1429,1390,1747,1701,1805,1636,1443,1681,1428,1423,1546,1236,1835,1785,2287,1597,1728,1598,1512,1458,1272,1756,1497,1256,1903,1716,1531,1653,1661,1479,1881,1585,1287
40,28,Maine,State,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3045,2978,3282,2173,1984,1519,1159,941,1096,1187,2156,2321,2923,2762,2166,2142,1709,1333,1122,756,943,884,1570,1874,2939,2522,1942,2272,1650,1394,1112,806,1010,1105,1597,1842,2760,2556,3295,2484,1814,1837,1099,1249,1518,1063,1455,1727,2741,2615,2773,2301,1640
41,39,New Hampshire,State,NH,1999,1971,2367,2979,3632,2943,2683,2744,1889,2235,1440,981,1790,2262,2227,3457,3715,2938,3325,2541,1968,2066,1528,1292,1558,1453,2675,3804,3699,3194,3354,2522,2531,1910,1646,1076,1571,1470,2909,2927,2981,2826,2319,2417,2321,1508,1415,877,1155,1083,2115,2382,3245,2697,2135,2506,1892,1637,1265,792,1252,1498,1774,2325,3113,2759,2470,2522,1955,1941,1159,839,1339,1361,1785,2064,2892,2595,2593,2312,1853
42,50,Rhode Island,State,RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523,1920,1595,1233,1525,1204,1085,870,560,827,976,1170,1515,1910,1700,1345,1444,1270,1360,795,536,884,905,1199,1439,1664,1407,1442,1370,1210
43,35,Montana,State,MT,,,,,,,,,,,,,,795,1106,2052,2021,1630,1738,1444,1075,997,776,707,990,1841,1406,1947,2198,1663,1590,1324,1242,1030,1438,817,1031,1150,1820,1725,1834,1815,1469,1688,1205,1063,856,605,951,862,1342,1568,1988,1904,1452,1597,1263,986,788,640,964,1032,1345,1313,1785,1778,1364,1406,1040,1019,661,467,797,734,870,1146,1459,1487,1529,1284,936
44,13,Delaware,State,DE,3290,1549,1744,2171,2834,1927,1421,1439,1178,1387,1121,886,1204,1173,1356,2075,1604,1492,1627,1354,1534,1395,1011,933,1126,1241,1308,1677,1510,1688,1473,1230,1570,1346,1041,921,1081,1165,1725,1688,1417,1647,1617,2010,1498,1242,1120,757,1099,1173,1575,1761,1781,1640,1265,1426,1368,1212,1103,756,1207,1584,1587,1432,1834,1602,1293,1415,1179,1460,997,709,1161,1199,1449,1359,1497,1516,1561,1359,1090
45,52,South Dakota,State,SD,816,743,837,772,1203,1035,1037,1044,785,791,627,366,624,650,790,1390,1232,981,1125,1007,655,828,571,548,548,724,980,957,736,681,898,752,1163,852,613,582,610,647,1117,1171,1046,1187,947,1092,746,732,591,367,461,541,963,1034,1235,1131,912,1040,840,806,670,478,721,716,929,1107,1342,1267,1020,1085,852,885,511,351,583,597,678,928,1260,1169,1274,1122,814
46,3,Alaska,State,AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679,1083,1018,1190,1037,1214,1008,710
47,37,North Dakota,State,ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,694,949,1139,1094,1045,956,726
48,58,Vermont,State,VT,924,985,1011,1303,1692,1529,1487,1360,1025,1174,809,522,1034,1506,1022,1626,1853,1521,1869,1357,1025,1070,635,820,959,1040,1606,1569,1640,1668,1602,1303,1130,834,867,590,891,873,1228,1221,1653,1450,1192,1295,1186,807,635,506,591,617,841,989,1613,1353,1028,1097,899,724,601,553,648,814,960,976,1562,1575,1496,1121,826,971,504,497,682,693,783,795,1382,1326,1312,1061,842
49,12,District of Columbia,State,DC,391,463,518,602,669,561,602,513,595,683,519,356,460,397,514,796,693,643,615,472,672,644,415,301,419,457,543,816,630,628,603,476,878,686,543,342,459,439,748,676,657,730,545,516,792,566,575,342,436,502,651,631,848,812,523,539,814,667,623,365,633,648,819,839,941,768,603,552,854,881,556,341,563,596,700,776,859,743,699,569,889
50,62,Wyoming,State,WY,816,764,838,796,1054,1073,1140,993,777,748,600,422,698,604,883,1057,1027,1037,1085,869,639,671,807,453,633,800,926,1192,917,965,1202,883,841,705,593,496,659,709,1213,1054,1099,1300,991,1068,707,688,614,432,543,562,932,1105,1519,1285,986,1126,814,629,676,530,805,747,1013,1012,1207,1267,931,991,723,792,539,399,648,591,730,870,1015,1077,1189,908,674
