"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"United States",0,,,,,,,,,,,,,2400,2400,2500,2500,2500,2500,2500,2400,2300,2395,2450,2500,2500,2550,2750,2995,2675,2500,2495,2395,2300,2300,2300,2400,2500,2500,2500,2500,2395,2500,2400,2400,2379.5,2300,2400,2495,2400,2400,2500,2650,2699,2595,2500,2487,2350,2325,2400,2500,2500,2550,2575,2500,2500,2550,2550,2500,2495,2500,2500,2650,2750,2800,2800,2850,2750,2800,2700,2750,2650,2600,2500,2695,2750,2800,2800,2850,2850,2800,2750,2800,2650,2650,2750,2900,3150,3195,3200,3100,3000,2995,2850,2800,2700,2750,2900,3200,3500,3600,3700,3595,3500,3500,3500,3000
"Los Angeles-Long Beach-Anaheim, CA",1,,,,,,,,,,,,,4500,4297.5,4500,4200,4125,4299.5,4300,4300,4400,4200,4500,4250,4250,4250,3945,3900,3962.5,3750,3597.5,3500,2995,2995,2900,3000,3200,3100,3197.5,3200,3300,3500,3400,3600,3450,3000,3500,3295,3200,3100,3200,3500,3700,3697.5,3850,3850,3800,3900,3725,3700,3800,3900,4100,4200,4200,4200,4200,4150,4000,3500,3600,3900,4000,4100,4000,4200,4200,4000,3897.5,4250,3900,4325,3850,3800,3995,4350,4250,4300,4500,4500,4350,4350,4250,4175,4195,3950,4200,4095,4200,4400,4500,4495,4374.5,4350,4200,4200,4295,4100,4100,4100,4150,4200,4200,4300,4250,4300
"Chicago, IL",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2749.5,2385,2418.5,2300,2395,2400,2500,2495,2500,2850,3300,3300,3400,3400,2999
"Dallas-Fort Worth, TX",3,,,,,,,,,,,,,,2095,2195,2172.5,2200,2100,1995,1982.5,1950,1900,1900,1850,1800,1895,1895,1895,1900,2000,1995,1850,1975,2100,1850,1850,1895,1900,1950,1900,1950,1950,2000,1995,1950,1995,2000,1995,1995,2000,2050,2195,2200,2250,2200,2209.5,2150,2154.5,2190,2150,2200,2200,2300,2395,2400,2350,2300,2300,2400,2350,2372.5,2337.5,2395,2445,2397,2400,2450,2395,2495,2500,2400,2350,2337.5,2350,2300,2400,2475,2495,2497,2500,2500,2500,2475,2450,2447.5,2500,2500,2500,2500,2600,2600,2595,2550,2595,2500,2500,2500,2495,2500,2595,2675,2597,2600,2600,2595,2500
"Houston, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2995,2975,2850,2750,2500,2500,2550,2600,2600,2600,2700,2762.5,2995,3100,3095,2875,2950,2975,2900,2875,2950,2950,2950,2925,2825,3000,2850,2925,2900,2650,2800,2700,2600,2600,2722.5,2750,2710,2697.5,2700,2800,2800,2800,2750,2699.5,2600,2795,2800,2850,2900,2795,2800,2650,2650,2700,2795,2700,2750,2775,2800,2925,2900,2900,2872.5,2950
"Washington, DC",5,,,,,,3500,3750,3425,3600,3295,3100,2995,3000,2900,3050,3147.5,3000,3000,3200,3000,2995,3000,2995,2900,3000,2995,3100,3188,3225,3250,3200,3100,2995,2850,2900,2897.5,2900,2995,2997,3050,3000,3199,3300,3262.5,3000,2975,2950,2900,2800,2800,2950,3250,3275,3200,3000,2995,2950,2945,2875,2900,2825,2950,3100,3200,3200,3172.5,3100,3051,3000,2975,2995,2999.5,2995,3000,3225,3230,3300,3400,3300,3300,3150,3000,3275,3200,3295,3400,3500,3425,3350,3350,3300,3297.5,3250,3200,3200,3025,3050,3265,3400,3400,3500,3400,3300,3200,3000,3200,3055,3200,3200,3300,3400,3495,3497,3500,3500,3400
"Miami-Fort Lauderdale, FL",6,,,,,,,,,,,,,,,,,,,3500,3600,3750,3750,3725,3750,3700,3900,3800,3750,3900,3800,3650,3550,3500,3400,3500,3500,3500,3500,3500,3500,3500,3500,3500,3450,3400,3345,3350,3200,3200,3195,3200,3400,3400,3500,3500,3400,3400,3500,3600,3525,3500,3500,3900,3725,3800,3800,3800,3700,3800,3750,3702.5,3700,3800,3800,3850,3800,4000,3900,3800,3900,3700,4000,3600,3900,3900,4000,4200,3950,3990,3950,3995,3800,3800,3995,3850,4000,4050,4200,4200,4000,4100,4250,4200,4000,4000,4000,4200,4000,3999,4100,4397.5,4200,4250,4300,4175,4000
"Atlanta, GA",7,,,,,,,,,,,,,2100,2000,2000,2195,2195,2150,2100,2000,2000,1995,1999.5,1900,1900,2000,2000,1995,1990,1950,1900,1750,1800,1750,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1695,1600,1645,1600,1550,1550,1600,1785,1750,1750,1750,1800,1825,1800,1800,1800,1800,1800,1800,1895,2000,2000,2000,1950,1950,1895,1889,1900,1950,1950,2000,2000,1999.5,2000,2000,2050,2000,2100,1995,1892,1950,1995,2147.5,2175,2187,2200,2148,2097.5,1995,2000,2000,1995,2000,2095,2095,2112.5,2200,2197,2200,2125,2127.5,2150,2100,2095,2010,2075,2195,2200,2200,2200,2200,2195
"Boston, MA",8,,,,,,,,,,,,,,,,,,,,,,,,,3500,3600,3800,3900,3750,3650,3500,3600,3500,3600,3700,3900,3900,3800,3800,3800,3800,3800,3700,3600,3700,3700,3900,4000,4000,4000,4150,4000,3975,3850,3800,3900,3995,3900,4000,4200,4200,4100,4000,4000,3900,3800,3800,3700,3500,3700,4000,4400,4400,4300,4200,4195,4000,4000,4000,4000,3900,3750,4050,4500,4500,4400,4300,4300,4250,4200,4100,4100,3900,4200,4500,4750,4750,4600,4500,4500,4350,4250,4200,4100,4000,4400,4800,5000,4950,4800,4650,4600,4500,4475,4300,4300
"San Francisco, CA",9,,,,,,,,,,,,,,2200,2150,2250,2050,2295,2400,2500,2500,2495,2395,2350,2300,2497,2300,2300,2400,2395,2400,2325,2300,2300,2300,2350,2400,2380,2300,2295,2390,2400,2350,2450,2450,2350,2500,2525,2400,2465,2495,2600,2600,2800,2972.5,3200,3147.5,2995,3000,2800,2850,3200,2800,3250,3530,3600,3200,3400,3250,3500,3300,3500,3500,3625,3500,3600,3500,3875,3600,3400,3500,3200,3200,3250,3200,3200,3450,4000,4262.5,4100,3799,3750,3500,3525,3500,3400,3500,3500,3650,3700,3795,3600,3500,3500,3600,3800,3700,3500,3675,3695,3822.5,3950,3500,3350,3400,3400
