"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Braeburn","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1387.5,1472.5,1475,1550,1550,1537.5,1450,1500,1595,1575,1522.5,1500,1575,1524.5,1495,1450,1472.5,1450,1450,1425,1399,1350,1325
"Waikiki","Honolulu","HI","Urban Honolulu","Honolulu County",371,,,,,,,,,1596,1600,1597,1600,1600,1600,1539,1519.5,1497,1550,1648.5,1647,1595,1695,1695,1695,1697,1700,1798.5,1700,1800,1800,1750,1800,1800,1800,1900,2000,2000,1900,1900,2000,2000,1900,1900,1900,1937.5,1900,2200,2000,2000,1937.5,1912.5,2187.5,2025,2162.5,2000,2100,2200,2175,2247,2500,2400,2200,2225,2198,2200,2200,2100,2200,2200,2200,2200,2347,2225,2300,2350,2200,2225,2150,2150,2150,2300,2275,2199,2100,2300,2277,2350,2325,2200,2200,2200,2200,2195,2197.5,2200,2250,2125,2150,2200,2300,2200,2200,2209.5,2200,2300,2250,2300,2200,2100,2100,2100,2100,2200,2200,2200,2200
"South Side","Toledo","OH","Toledo","Lucas County",371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,750,750,750,795,775,795,735,750,750,735,750
"Hartranft","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1500,1550,1400,1400,1375,1350,1350,1200,1400,1600,1600,1499,1499.5,1499,1500,1450,1350,1350,1350,1300,1500,1400,1562.5,1500,1450,1587.5,1600,1560,1325,1325,1350,1300
"Kingesessing","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.5,1000,1000,1000,1000,950,962.5,1000,1075,1000,975,1000,1000,997.5,1025,1070,1037.5,1100,1100,1050,1100,1100,1100,1087.5,1100,1097.5,1167.5,1100,1067.5,1100,1100,1100,1100
"Bucktown","Chicago","IL","Chicago-Naperville-Elgin","Cook County",375,,,,,,,,,,,,,,,,,2450,2400,2350,2200,2199,2200,2225,2350,2350,2200,2300,2425,2200,2350,2400,2400,2400,2300,2200,2200,2375,2200,2250,1950,2147.5,2195,2100,2100,2400,2318.5,2275,2350,2325,2350,2375,2450,2400,2500,2500,2450,2300,2295,2200,2375,2450,2400,2425,2375,2450,2500,2500,2400,2500,2500,2475,2500,2475,2200,2225,2500,2375,2650,2350,2500,2500,2275,2200,2350,2400,2697.5,2700,2700,2800,2700,2600,2600,2500,2500,2600,2542.5,2437.5,2497.5,2375,2597.5,2425,2600,2700,2600,2600,2650,2500,2650,2600,2600,2400,2595,2600,2600,2600,2625
"East Sacramento","Sacramento","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2150,2097.5,2047.5,2250,2200,2242.5,2210.5,2322.5,2350,2150,2250,2263,2397.5,2397.5,2247.5,2200,2150,2275,2200,2225,2125
"Ost - South Union","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1250,1275,1250,1300,1225,1200,1175,1195,1199,1200,1250,1272.5,1275,1250,1200,1250,1295,1272.5,1300,1300,1300,1300,1300,1342.5,1300,1272.5,1250,1285
"Point Loma Heights","San Diego","CA","San Diego-Carlsbad","San Diego County",378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2725,2450,2650,2700,2497.5,2300,2372.5,2500,2500,2425,2400,2597,2422.5,2795,2972.5,2647.5,2400,2549.5,2495,2295,2345,2447.5,2500,2670,2747.5,2495,2400,2475
"Western Branch North","Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285,1300,1200,1275,1375,1325,1300,1350,1395,1385,1395,1395,1375,1375,1350,1350,1300,1350,1350,1397.5,1310,1325,1325,1325,1325,1325,1297.5,1400,1450,1450,1400,1395
"Macgregor","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1553,1600,1633,1553,1553,1600,1574,1500,1600,1682.5,1682.5,1600,1593,1633,1697.5,1660,1501.5,1670,1900,1800,1900,1925,1925,1895,1890,1800,1797.5,1700,1725,1997.5,1800,1600,1616.5,1700,1800,1593,1695,1595,1700,1697.5,1650,1700,1797.5,1750,1772.5,1650,1641.5,1682.5,1795,1800,1850,1799,1800,1750,1825,1800,1795,1795,1795,1850,1800,1660,1670,1895,1917.5,1975,1900,1897.5,2000,1900,1746.5
