"RegionID","RegionName","RegionType","StateName","SizeRank","MSA","MSARegionID","2010-11","2010-12","2011-1","2011-2","2011-3","2011-4","2011-5","2011-6","2011-7","2011-8","2011-9","2011-10","2011-11","2011-12","2012-1","2012-2","2012-3","2012-4","2012-5","2012-6","2012-7","2012-8","2012-9","2012-10","2012-11","2012-12","2013-1","2013-2","2013-3","2013-4","2013-5","2013-6","2013-7","2013-8","2013-9","2013-10","2013-11","2013-12","2014-1","2014-2","2014-3","2014-4","2014-5","2014-6","2014-7","2014-8","2014-9","2014-10","2014-11","2014-12","2015-1","2015-2","2015-3","2015-4","2015-5","2015-6","2015-7","2015-8","2015-9","2015-10","2015-11","2015-12","2016-1","2016-2","2016-3","2016-4","2016-5","2016-6","2016-7","2016-8","2016-9","2016-10","2016-11","2016-12","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12","2018-1","2018-2","2018-3","2018-4","2018-5","2018-6","2018-7","2018-8","2018-9","2018-10","2018-11","2018-12","2019-1","2019-2","2019-3","2019-4","2019-5","2019-6","2019-7","2019-8","2019-9"
112547,"Paradise Valley","Neighborhood","AZ",11,"Phoenix-Mesa-Scottsdale",394976,0.75,0.65,0.56,0.37,0.28,0.09,0.19,0.47,0.84,1.21,1.78,2.24,2.52,3.18,3.83,5.05,5.7,5.42,5.89,6.54,7.57,8.04,8.6,9.07,8.97,8.32,7.01,6.45,6.82,8.13,9.16,9.53,9.72,9.44,8.69,7.1,6.07,5.61,5.33,4.58,2.99,1.87,1.59,1.5,1.31,1.12,0.93,1.03,1.4,1.68,1.96,2.62,2.9,3.08,3.27,3.55,4.49,5.23,5.98,5.51,4.3,3.64,4.11,4.86,4.77,4.21,3.46,2.8,2.43,2.15,2.06,2.34,2.71,3.36,3.74,3.93,4.95,6.17,6.64,6.36,5.79,4.67,4.02,4.39,5.14,6.26,6.73,7.76,8.88,9.63,9.91,10,9.81,9.35,8.79,8.5,8.41,8.22,7.85,7.66,7.38,7.48,7.29,6.92,7.2,7.94,9.25
198687,"Washington Heights","Neighborhood","NY",12,"New York-Newark-Jersey City",394913,2.34,2.06,1.78,2.52,2.24,2.71,1.87,1.31,0.56,0.84,1.68,3.27,3.08,2.8,3.18,3.36,2.99,2.62,1.96,1.4,0.93,1.5,2.43,2.9,2.15,1.59,1.03,0.37,0.47,0.28,0.75,1.12,0.65,0.19,0.09,1.21,3.83,6.07,7.57,8.04,8.69,9.07,9.44,9.53,9.35,8.41,7.29,6.92,7.48,7.38,5.42,4.02,3.93,5.79,7.2,7.94,8.13,8.88,8.22,8.6,8.5,9.25,9.72,9.63,8.79,7.66,7.01,6.17,5.7,5.89,6.82,6.64,6.26,4.21,5.14,6.73,8.32,7.85,6.54,5.51,5.23,6.36,5.98,5.33,4.3,4.58,5.61,5.05,4.49,4.67,7.1,8.97,9.81,10,9.91,9.16,7.76,6.45,4.77,4.95,4.86,4.39,4.11,3.55,3.64,3.46,3.74
111818,"Deer Valley","Neighborhood","AZ",13,"Phoenix-Mesa-Scottsdale",394976,0.09,0.19,0.28,0.37,0.47,0.56,0.65,0.75,0.84,0.93,1.03,1.5,2.24,2.43,2.9,4.39,5.42,4.86,4.11,5.23,7.48,8.22,8.32,8.5,7.57,5.79,5.05,5.98,6.26,6.17,7.2,8.88,9.63,9.72,9.25,8.69,7.01,3.93,2.34,1.96,1.68,1.78,2.06,1.87,1.59,1.31,1.12,1.21,1.4,2.15,2.52,2.62,3.27,4.67,5.7,5.33,5.14,5.61,6.07,6.45,7.1,6.82,6.92,5.89,5.51,4.58,4.49,3.83,3.55,2.8,3.08,3.64,4.3,4.02,3.46,3.74,4.95,7.29,7.38,6.36,4.21,3.18,2.71,2.99,3.36,4.77,6.73,8.6,9.35,9.53,9.44,9.16,9.07,8.79,8.41,8.13,7.85,8.04,7.94,7.76,6.54,6.64,7.66,8.97,9.81,9.91,10
267955,"North Mountain","Neighborhood","AZ",14,"Phoenix-Mesa-Scottsdale",394976,0.19,0.09,0.47,0.56,0.65,0.28,0.37,0.75,1.03,1.31,1.68,1.87,2.06,2.43,2.8,3.27,4.86,6.07,5.89,4.77,4.21,4.3,5.23,5.33,7.01,7.29,6.64,4.49,3.64,3.46,3.83,4.39,6.26,7.48,6.73,5.42,3.55,3.18,2.62,2.34,2.24,1.96,1.5,1.21,0.84,0.93,1.12,1.4,1.59,1.78,2.15,2.9,4.02,6.54,8.22,8.88,8.5,6.82,5.7,4.95,5.79,5.14,3.74,3.08,2.52,2.71,2.99,3.36,5.05,5.61,5.98,4.67,4.11,3.93,4.58,5.51,7.1,8.13,8.6,7.94,6.92,6.17,6.36,6.45,7.2,7.66,8.32,8.41,9.25,9.63,9.91,10,9.81,9.72,9.35,9.53,8.79,9.07,8.97,9.16,7.85,7.57,7.38,7.76,8.04,8.69,9.44
272816,"Astoria","Neighborhood","NY",15,"New York-Newark-Jersey City",394913,10,9.91,9.16,2.52,0.37,0.09,0.19,0.28,1.03,1.21,1.68,2.06,2.62,3.27,3.46,4.21,5.33,6.54,7.38,7.76,7.57,5.79,3.83,2.15,2.34,2.71,4.02,4.39,5.23,6.64,8.04,8.41,8.13,5.7,3.36,2.9,4.11,5.14,6.82,7.85,9.07,9.63,9.44,6.36,2.43,0.84,3.08,4.95,6.07,4.58,4.86,7.2,7.48,6.26,4.49,5.05,6.17,7.29,7.66,8.22,8.69,9.53,9.81,9.72,8.79,8.88,8.5,8.6,8.32,8.97,9.25,9.35,7.94,3.64,1.4,1.59,1.96,3.55,4.3,6.45,6.73,7.1,3.74,2.8,2.24,4.67,5.61,6.92,5.98,5.42,4.77,5.51,5.89,7.01,3.93,1.31,0.65,0.47,0.93,1.5,2.99,3.18,1.78,0.75,0.56,1.12,1.87
273698,"Far North","Neighborhood","TX",16,"Dallas-Fort Worth-Arlington",394514,0.65,0.56,0.84,1.31,1.12,0.37,0.19,0.09,0.28,0.47,0.93,1.4,1.5,1.21,0.75,1.03,1.59,1.68,1.96,2.24,2.06,1.87,1.78,2.15,2.43,2.99,3.18,2.52,2.34,2.8,3.83,4.02,4.3,4.95,5.23,5.14,4.86,4.49,4.21,4.39,5.33,5.61,7.94,8.5,8.41,8.04,7.29,7.85,8.13,8.88,8.79,9.25,8.69,9.72,9.53,10,9.81,9.44,9.35,9.63,9.91,8.97,8.6,7.2,6.54,5.79,5.7,6.07,7.38,7.76,7.1,6.92,6.45,6.82,6.17,7.48,8.32,9.16,9.07,8.22,6.73,5.89,6.36,6.26,6.64,7.01,7.66,7.57,5.98,5.51,5.42,5.05,4.67,4.77,4.58,4.11,3.93,3.64,3.74,3.46,3.08,2.62,2.9,3.27,3.55,3.36,2.71
272902,"Bedford Stuyvesant","Neighborhood","NY",17,"New York-Newark-Jersey City",394913,8.6,8.79,9.07,8.22,7.76,7.01,5.89,4.95,4.39,3.36,2.15,1.12,0.37,0.19,0.09,0.28,0.47,0.75,1.4,2.34,3.55,3.46,2.62,1.5,1.03,0.65,0.84,1.31,1.59,1.87,2.9,3.93,4.3,5.33,6.17,7.48,7.29,8.13,8.88,9.63,9.81,9.91,10,9.72,9.44,9.16,9.25,8.97,6.92,4.67,3.64,4.11,6.26,6.82,6.36,5.7,7.38,8.69,8.5,7.94,7.2,8.41,9.53,9.35,7.85,5.05,5.98,6.64,8.32,8.04,7.66,6.54,6.07,5.51,5.61,4.58,4.21,3.18,2.43,2.06,3.74,5.23,7.1,5.79,5.14,4.49,4.02,2.99,1.96,3.08,3.83,4.77,5.42,6.45,7.57,6.73,4.86,3.27,2.8,2.71,2.24,1.78,1.21,0.56,0.93,1.68,2.52
199001,"Williamsburg","Neighborhood","NY",18,"New York-Newark-Jersey City",394913,4.11,2.99,0.47,0.37,0.56,1.87,4.02,6.07,7.76,7.66,7.01,5.14,3.36,1.68,1.31,2.06,2.71,2.8,3.27,4.21,4.86,4.39,3.64,2.15,1.4,1.21,1.5,1.96,2.52,3.08,3.93,5.05,5.7,6.82,7.57,7.94,8.22,8.41,8.88,8.97,8.6,8.5,8.69,9.63,9.81,10,9.91,9.72,9.44,9.25,9.07,8.79,8.32,7.29,6.45,5.89,6.54,7.85,9.35,9.53,9.16,8.13,8.04,6.26,4.49,2.34,3.18,4.95,5.79,5.98,4.58,4.67,4.77,3.55,2.9,1.03,2.24,0.84,0.75,0.65,0.93,3.74,5.33,5.61,4.3,3.83,2.62,1.59,2.43,3.46,5.23,6.17,7.38,7.2,6.92,6.73,6.36,7.1,7.48,5.51,1.12,0.19,0.09,0.28,1.78,5.42,6.64
32059,"Hollywood","Neighborhood","CA",19,"Los Angeles-Long Beach-Anaheim",753899,1.03,0.93,1.21,1.59,1.12,0.84,0.65,0.28,0.47,0.56,0.37,0.09,0.19,0.75,1.31,1.4,1.5,1.68,1.96,1.87,1.78,2.06,3.18,5.79,5.7,2.62,2.34,3.64,8.69,9.81,9.72,9.53,9.35,9.44,9.16,8.97,8.79,8.22,6.73,5.98,5.33,4.39,4.02,4.21,3.74,3.55,4.77,6.17,6.54,7.1,7.48,6.07,5.42,6.92,9.63,10,9.91,9.25,7.29,5.61,5.05,6.26,7.66,8.04,6.36,4.3,3.08,2.9,3.46,4.49,6.45,7.2,7.01,7.38,8.5,9.07,8.32,5.14,2.99,4.95,6.64,7.85,7.94,8.6,8.88,8.13,3.83,2.52,4.11,7.57,8.41,7.76,6.82,5.89,4.67,3.93,4.86,5.51,5.23,4.58,3.36,2.43,2.15,2.24,2.71,3.27,2.8
267908,"Camelback East","Neighborhood","AZ",20,"Phoenix-Mesa-Scottsdale",394976,0.37,0.09,0.19,0.28,0.65,0.84,0.75,0.56,0.47,0.93,1.78,2.99,4.21,3.93,5.05,4.39,3.64,3.08,3.74,7.1,8.79,8.97,8.5,9.16,8.32,7.48,4.86,5.33,6.26,8.88,9.72,10,9.91,9.81,8.6,8.13,6.64,6.07,4.77,3.55,3.18,2.8,2.52,1.5,1.68,1.31,1.12,1.03,2.34,4.02,7.38,7.76,8.22,7.2,6.92,4.95,5.14,5.79,7.01,5.89,5.23,5.42,6.17,7.66,6.73,5.98,4.49,2.9,2.06,1.21,1.4,2.43,3.36,5.7,6.82,6.45,4.58,4.3,4.11,5.61,7.29,8.69,9.53,9.63,9.44,9.35,9.25,9.07,8.41,8.04,7.94,7.85,7.57,6.36,3.27,2.62,1.96,2.15,1.59,1.87,2.24,2.71,3.46,3.83,4.67,5.51,6.54
