"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"East","Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant County",41,,,,,,,995,912.5,900,900,895,920,939.5,950,919,919,919,950,950,950,947.5,925,910,920,959.5,950,950,950,995,990,1000,995,995,999,1050,1037.5,1062.5,1095,1075,1075,1100,1095,1150,1100,1100,1137.5,1150,1150,1110,1125,1150,1150,1129,1150,1125,1095,1150,1195,1200,1195,1150,1192.5,1170,1225,1292.5,1212.5,1197.5,1240,1195,1230,1215,1195,1250,1250,1275,1325,1350,1395,1350,1300,1350,1340,1300,1300,1300,1350,1350,1400,1400,1412.5,1450,1450,1450,1450,1450,1395,1450,1450,1450,1449,1450,1447.5,1432.5,1447.5,1450
"Blossom Valley","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3195,3200,3272.5,3175,3216.5,3200,3249,3274,3184.5,3121,3200,3295,3299.5,3295,3300,3295,3222.5,3315,3230,3125,3100,3192,3100,3202,3273,3279,3400,3447.5,3495,3500,3495,3450,3350
"Logan Square","Chicago","IL","Chicago-Naperville-Elgin","Cook County",43,,,,,,1450,1495,1500,1500,1495,1495,1495,1495,1500,1605,1750,1800,1650,1592.5,1600,1700,1595,1450,1600,1550,1550,1595,1650,1725,1772.5,1850,1900,1950,1800,1800,1750,1800,1800,1900,1995,1950,1900,1895,1900,1885,1774.5,1800,1700,1800,1900,1650,1895,1950,2025,1997.5,1875,1850,1800,1800,1800,1860,1800,1895,1900,1950,2000,2000,2000,2100,1962.5,1900,1850,1995,1925,1925,2000,2000,2095,2000,1995,1900,1850,1800,1800,1797.5,1895,2100,2000,2000,2050,2000,2000,1900,1850,1850,1892.5,1900,2050,2100,2100,2137.5,2150,2100,1995,1995
"Sheepshead Bay","New York","NY","New York-Newark-Jersey City","Kings County",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2225,2297.5,2300,2000,2000,2000,2100,1875,1900,1900,2000,2150,2300,2300,2300,2200,2000,2200,2200,2200,2150,2200,2100,2249,2300,2340,2380,2397,2300,2300,2100,2100,2100,2000,2300,2250,2300,2000,2300,2300,2500,2300,2300,2100,2100,2100,2299,2300,2400,2450,2450,2300,2250,2375,2375,2322.5,2375,2400,2350,2350,2350,2399,2500,2495,2497,2400,2400,2400,2400,2500,2573,2400,2548,2485,2495
"South Bronx","New York","NY","New York-Newark-Jersey City","Bronx County",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,2300,2225,2150,2200,2200,2200,2300,2300,2300,2250,2250,2300,2200
"Willow Glen","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3195,3197.5,3350,3397.5,3497.5,3450,3404,3400,3425,3500,3497.5,3395,3500,3500,3500,3650,3600,3600,3650,3700,3700,3749.5,3799.5,3799.5,3800,3600,3500,3500,3750,3750,3725,3800,3750
"Southeast","Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant County",47,,1297.5,1250,1247.5,1250,1295,1250,1200,1195,1200,1200,1175,1195,1200,1250,1250,1195,1200,1225,1250,1200,1200,1250,1250,1200,1245,1255,1267.5,1275,1295,1288,1275,1250,1250,1250,1250,1250,1225,1237.5,1250,1295,1295,1300,1281,1295,1295,1300,1295,1300,1345,1345,1350,1350,1350,1395,1400,1395,1394,1395,1395,1375,1375,1385,1362.5,1385,1425,1395,1440,1387,1450,1387.5,1449,1450,1460,1460,1495,1500,1500,1500,1495,1500,1500,1500,1495,1500,1500,1497.5,1500,1527.5,1550,1550,1550,1575,1550,1550,1575,1595,1600,1600,1625,1650,1645,1630,1640,1675
"Canarsie","New York","NY","New York-Newark-Jersey City","Kings County",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1800,1800,1762.5,1800,1800,1800,1800,1700,1700,1800,1800,1800,1800,1800,1800,1800,1900,1900,1900,1900,1900,1972.5,2000,2000,2100,2100,2100,2000,2000,2000,2000,2100,2000,2075,2200,2100,2100,2000,2200,2200,2100,2100,2100,2200,2200,2200,2200,2200,2200,2200,2300,2300,2300,2250,2200,2200,2225,2250,2250,2300,2300,2250,2200,2300,2300,2299,2300,2300,2300,2300,2300,2300
"White Haven-Coro Lake","Memphis","TN","Memphis","Shelby County",49,,,,,,,,,,,,,,,,,,,,,,,,750,700,704.5,725,725,725,750,760,750,795,785,800,825,795,795,795,795,750,795,795,795,795,795,795,750,750,750,795,795,795,795,795,750,795,795,795,750,750,765,795,797,810,825,750,800,775,750,795,850,800,795,812.5,850,850,785,775,775,750,750,750,750,795,795,807.5,825,775,800,807.5,825,850,850,840,820,825,800,825,810,825,845,825,810,835
"Downtown","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3367.5,3532.5,3550,3547.5,3595,3590,3500,3500,3425,3667.5,3797.5,3641,3936,3672.5,3545,3500,3625,3770,3790,3740,3447.5,3447.5,3829,3450,3470,3700,3750,3850,3695,3895,3930,3525,3925,3630
