"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Detroit, MI",11,,2000,2250,2200,2000,2000,1997,2000,2000,2000,2000,2000,1900,1990,2000,2100,2150,2100,2100,2000,1700,1650,1800,1725,1700,1750,1850,1945,2000,2000,1850,1800,1800,1800,1700,1600,1700,1695,1650,1800,1900,1995,2000,1995,1995,1950,1925,1900,1850,1837.5,1850,2100,2000,2000,2000,2100,2100,2100,2100,2000,2000,2000,2172.5,2200,2200,2250,2200,2200,2150,2100,2100,2195,2100,2200,2200,2200,2200,2000,2200,2100,2000,2100,2000,2000,2000,2000,2200,2200,2200,2300,2200,2150,2172.5,2000,2000,1900,1900,1950,2000,2200,2200,2200,2200,2200,2100,2100,2117,2195,2075,1997.5,2000,2100,2100,2200,2200,2147.5
"Riverside, CA",12,,2000,2100,2100,2200,2175,2090,2000,2000,2125,2172.5,1900,1900,1895,1950,1995,1932.5,1850,1850,1800,1825,1800,1850,1800,1800,1795,1699,1750,1750,1795,1750,1700,1750,1750,1750,1750,1775,1775,1795,1800,1800,1812,1800,1845,1825,1795,1799,1799,1795,1795,1795,1889,1895,1895,1895,1875,1850,1850,1855,1895,1900,1900,1979.5,1950,1995,2000,1995,1995,1995,1980,1995,1995,2000,2030,2085,2000,2000,2006,2000,1995,2000,2050,1995,2062,2189,2195,2200,2250,2250,2250,2230.5,2250,2217.5,2220.5,2295,2295,2300,2300,2307.5,2350,2359.5,2350,2350,2300,2345,2395,2400,2400,2400,2430,2495,2475,2450,2415,2400,2400
"Phoenix, AZ",13,,,,,,,,,1200,1400,1272.5,1097.5,1200,1150,1295,1150,1095,1095,1095,1100,1100,1100,1150,1150,1195,1195,1275,1200,1200,1200,1195,1200,1195,1197.5,1195,1175,1150,1195,1199,1175,1190,1176,1125,1125,1125,1169,1150,1100,1100,1100,1100,1200,1200,1235,1200,1150,1125,1195,1200,1195,1200,1250,1300,1300,1350,1395,1375,1300,1270,1250,1295,1300,1295,1300,1300,1262.5,1210,1300,1250,1250,1250,1200,1250,1295,1295,1395,1395,1425,1450,1408.5,1450,1395,1395,1400,1395,1375,1400,1419.5,1500,1550,1550,1595,1595,1550,1600,1595,1550,1625,1595,1650,1650,1750,1695,1650,1610,1670
"Seattle, WA",14,,1900,2100,1995,1900,1995,1950,1895,1950,1900,1800,1795,1797.5,1850,1897.5,2000,1950,1995,1895,1895,1895,1799,1795,1800,1800,1850,1875,1895,1895,1900,1895,1800,1850,1850,1800,1800,1795,1850,1800,1800,1895,1950,1895,1900,1895,1875,1800,1795,1795,1795,1800,1899,1947.5,1995,2000,1995,1950,1900,1895,1899,1895,1995,2000,2100,2200,2250,2250,2195,2195,2100,2200,2200,2195,2200,2277.5,2300,2331,2400,2400,2295,2300,2300,2200,2445,2495,2495,2500,2595,2700,2725,2650,2600,2500,2500,2500,2500,2500,2595,2650,2750,2750,2787.5,2700,2600,2595,2500,2500,2562.5,2582.5,2600,2650,2750,2770,2795,2750,2625
"Minneapolis-St Paul, MN",15,,,,,,,,,,,,,,,,,1550,1595,1575,1500,1582.5,1545,1450,1500,1500,1500,1575,1595,1600,1599,1595,1595,1550,1500,1595,1550,1549,1550,1595,1595,1695,1599,1599,1595,1600,1695,1650,1650,1600,1595,1595,1600,1650,1681.5,1695,1691.5,1600,1695,1650,1650,1695,1750,1775,1750,1700,1700,1747,1700,1695,1712.5,1750,1700,1750,1737.5,1737.5,1750,1695,1700,1750,1695,1795,1795,1799,1795,1795,1806,1795,1800,1850,1795,1800,1795,1795,1895,1898,1890,1950,1895,1995,1992.5,1982.5,1950,1942.5,1895,1900,1995,1995,1995,2000,2000,1995,1995,2000,1999,1950,1923.5
"San Diego, CA",16,,,,,,,,,,,,,2800,2900,2950,2950,2800,2700,2600,2500,2500,2550,2600,2550,2550,2500,2400,2460,2500,2500,2500,2495,2450,2475,2400,2450,2495,2500,2499,2500,2500,2595,2695,2695,2620,2500,2600,2572.5,2500,2500,2500,2700,2695,2700,2750,2700,2650,2700,2750,2849,2849,2800,2848.5,2850,2850,2850,2850,2840,2800,2800,2797.5,2824,2995,3000,2900,2950,2895,2850,2850,2895,2849,2895,2800,2995,3000,3000,3200,3300,3295,3200,3200,3200,3100,3000,3090,3200,3200,3250,3250,3400,3300,3400,3350,3300,3200,3250,3350,3300,3300,3400,3500,3495,3450,3492.5,3395,3380
"St. Louis, MO",17,,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,1600,1695,1650,1600,1566,1550,1550,1499,1500,1500,1495,1500,1472.5,1525,1495,1625,1695,1550,1500,1350,1350,1200,1200,1200,1200,1300,1320,1547.5,1500,1475,1400,1400,1397.5,1400,1400,1325,1497.5,1595,1600,1600,1550,1472.5,1400,1397.5,1395,1425,1447.5,1450,1447.5,1500,1600,1622.5,1500,1600,1500,1425,1497.5,1395,1445,1450,1457.5,1500,1600,1500,1495,1495,1450,1462.5,1397.5,1450,1400,1500,1575,1547.5,1500,1550,1547.5,1545,1495,1412.5,1450,1450,1495,1450,1450,1547.5,1550,1500,1650,1600
"Tampa, FL",18,1300,1400,1600,1650,1485,1500,1650,1695,1695,1697.5,1650,1600,1600,1595,1600,1595,1595,1500,1500,1500,1500,1500,1495,1495,1475,1495,1500,1485,1500,1500,1450,1475,1450,1450,1425,1450,1490,1525,1590,1595,1600,1599.5,1580.5,1590,1575,1525,1550,1500,1500,1500,1500,1595,1595,1600,1600,1598,1550,1550,1575,1550,1595,1600,1600,1635,1675,1650,1650,1645,1635,1650,1600,1650,1655,1665,1695,1687.5,1629.5,1673,1660,1695,1650,1650,1604.5,1700,1700,1700,1745,1750,1777.5,1775,1745,1747.5,1700,1700,1712.5,1745,1745,1795,1800,1805,1800,1800,1800,1795,1750,1775,1750,1750.5,1772.5,1800,1850,1880,1865,1825,1820,1800
"Baltimore, MD",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1600,1645.5,1700,1800,1800,1812.5,1800,1750,1750,1895,1800,2000,2000,1900,1900,1900,1900,1838,1975,2000,2000,1950,1925,2000,2000,2000,2250,2200,2150,2250,2000,2200,2000,2000,1950,1750,1707.5,1950,2100,2237.5,1891.5,2000,2250,2025,1894,2000,2200,1860,1850,1995,2200,2200,2150,1994.5,2000,2000,1850,1975,1900,1926.5,1950,1900,1950,1995,1950,2075,2050,2025,1850,1800,1875,1795,1795,1825,2047.5,1995,1995,2000,2000,2000,2000
"Denver, CO",20,,,,,,,,,,,,1950,1900,1850,1900,1900,2200,1972.5,1995,1925,1825,1795,1800,1795,1895,1950,2000,2097.5,2000,2000,2000,1995,1950,1900,1950,2000,1995,2050,2000,2000,2100,2000,2095,2097.5,2050,1995,2097.5,2000,1926,1950,1975,2199.5,2200,2295,2200,2295,2350,2295,2250,2250,2250,2250,2295,2400,2400,2450,2400,2350,2340,2300,2300,2350,2395,2350,2342.5,2450,2400,2400,2400,2300,2285,2295,2257.5,2300,2300,2350,2400,2495,2495,2450,2395,2350,2350,2350,2395,2400,2400,2495,2500,2500,2500,2495,2450,2450,2450,2400,2399,2449,2495,2500,2595,2550,2500,2500,2500,2499
