"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Oregon",26,,,,,,,,,,,,1200,1250,1222.5,1295,1300,1350,1447.5,1475,1495,1495,1495,1450,1450,1362.5,1450,1495,1495,1495,1550,1500,1495,1450,1450,1350,1395,1395,1450,1447.5,1450,1500,1595,1595,1612.5,1600,1595,1595,1530,1525,1500,1575,1600,1645,1690,1750,1799,1750,1750,1695,1697.5,1795,1795,1800,1795,1847.5,1850,1897.5,1950,1900,1800,1850,1850,1862.5,1885,1950,1950,1895,1995,1995,1997.5,1995,1945,1795,1995,2050,2000,2150,2200,2250,2200,2197.5,2100,2095,2000,2050,2000,2000,2110,2195,2200,2195,2195,2195,2100,2000,1995,1995,2050,2095,2195,2200,2245,2250,2284.5,2300,2250
"Oklahoma",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1385,1395,1277.5,1325,1350,1300,1295,1395,1395,1495,1495,1500,1500,1500,1495,1495,1595,1522.5,1450,1397.5,1395,1397.5,1450,1495,1495,1495,1497.5,1500,1495,1445,1447.5,1497.5,1500,1522.5,1500,1495,1495,1497.5,1450,1425,1400,1447.5,1495,1495,1495,1450,1425,1477.5,1450,1450,1395,1345,1350,1325,1395,1400,1400,1400,1400,1445,1450,1400,1395,1350,1350,1395,1395,1350,1395,1420,1445,1400,1400,1397.5,1395,1395,1350,1350,1400,1400,1395,1400,1400,1445,1400,1395,1400
"Connecticut",28,,,,,,,,,,,,,,,2550,2700,2700,2500,2400,2250,2200,2200,2200,2175,2150,2400,2400,2500,2562.5,2500,2300,2300,2300,2200,2200,2200,2250,2200,2250,2400,2400,2300,2250,2225,2200,2000,2000,1999.5,2000,2000,2000,2200,2300,2212.5,2200,2100,2100,2100,2000,2000,2100,2100,2200,2250,2200,2300,2200,2200,2200,2100,2000,2100,2100,2200,2200,2300,2200,2200,2200,2175,2100,2000,1984.5,2000,1995,2000,2000,2225,2350,2300,2250,2200,2000,2012.5,2000,2000,2050,2100,2300,2379.5,2400,2350,2200,2200,2000,2100,2000,2000,2200,2100,2200,2350,2400,2350,2300,2300
"Iowa",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1385,1367.5,1400,1300,1250,1275,1300,1400,1445,1500,1475,1400,1400,1400,1485,1350,1395,1300,1295,1300,1350,1350,1400,1350,1395,1395,1387,1450,1450,1400,1400,1400
"Mississippi",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1247.5,1399.5,1500,1459,1400,1500,1500,1475,1500,1495,1397.5,1450,1460,1650,1725,1725,1750,1600,1525,1600,1600,1600,1600,1800,1800,1650,1750,1600,1637.5,1600,1600,1600,1600,1537.5,1500
"Kansas",31,,,,,,,,,,,,,,,,,,1499,1547.5,1495,1495,1400,1300,1300,1350,1400,1600,1600,1550,1537.5,1450,1350,1350,1350,1450,1450,1312.5,1337.5,1400,1500,1425,1400,1395,1450,1357.5,1395,1350,1300,1300,1322.5,1340,1400,1495,1495,1400,1440,1450,1450,1400,1395,1375,1425,1450,1495,1450,1485,1450,1395,1312.5,1395,1395,1400,1400,1400,1400,1465,1425,1450,1300,1335,1412.5,1349,1350,1440,1400,1400,1400,1400,1395,1395,1350,1300,1300,1375,1350,1395,1400,1395,1400,1400,1395,1350,1312.5,1350,1350,1400,1400,1400,1397.5,1395,1395,1395,1375,1350,1300,1250
"Utah",32,,,,,,,,,,,,,1200,1200,1162.5,1200,1200,1250,1250,1250,1250,1250,1250,1195,1200,1200,1250,1272.5,1250,1245,1250,1250,1250,1225,1225,1200,1250,1260,1300,1295,1295,1300,1300,1300,1300,1295,1295,1295,1295,1295,1300,1315,1300,1300,1300,1300,1300,1300,1320,1300,1325,1350,1310,1350,1350,1350,1350,1350,1350,1350,1350,1300,1395,1450,1400,1395,1425,1450,1450,1425,1437.5,1450,1450,1400,1450,1541,1495,1595,1595,1595,1595,1595,1550,1550,1575,1595,1600,1645.5,1695,1695,1695,1695,1695,1695,1699,1695,1700,1700,1700,1702,1800,1750,1795,1795,1750,1725
"Nevada",33,,1600,1500,1500,1595,1500,1595,1600,1695,1625,1637.5,1450,1450,1400,1400,1450,1400,1400,1400,1400,1395,1395,1375,1395,1350,1395,1395,1350,1385,1385,1350,1350,1350,1325,1300,1300,1300,1350,1350,1350,1350,1355,1385,1395,1395,1395,1395,1350,1350,1350,1375,1395,1395,1400,1400,1400,1400,1399,1399,1400,1400,1450,1495,1495,1495,1495,1495,1492.5,1450,1472.5,1450,1450,1495,1525,1500,1500,1550,1500,1500,1482.5,1495,1500,1495,1500,1550,1595,1600,1600,1650,1650,1625,1600,1600,1620,1650,1650,1650,1700,1700,1700,1700,1700,1700,1700,1700,1700,1750,1750,1750,1800,1850,1850,1822.5,1847.5,1825,1800
"New Mexico",34,,,,,,,,,,,,,,,,,1550,1425,1425,1395,1295,1285,1275,1300,1300,1375,1300,1250,1275,1350,1300,1295,1250,1250,1275,1299,1300,1350,1362.5,1350,1300,1300,1300,1350,1310,1300,1295,1285,1250,1250,1250,1300,1350,1350,1300,1292.5,1263,1250,1275,1295,1250,1295,1300,1350,1350,1300,1325,1300,1275,1250.5,1300,1295,1325,1329.5,1350,1350,1400,1385,1300,1325,1350,1312.5,1375,1300,1350,1300,1350,1395,1350,1395,1400,1395,1350,1400,1412.5,1350,1395,1395,1400,1437.5,1400,1425,1450,1425,1425,1400,1400,1400,1450,1405,1499.5,1525,1500,1450,1450,1495
"West Virginia",35,,,,,,,,,,,,,,,1497.5,1500,1500,1497.5,1495,1500,1425,1400,1400,1275,1350,1400,1400,1412.5,1400,1547.5,1525,1400,1372.5,1395,1395,1350,1400,1350,1300,1500,1497.5,1450,1475,1450,1350,1372.5,1350,1400,1400,1300,1300,1375,1350,1350,1372.5,1495,1325,1475,1512.5,1462.5,1425,1350,1350,1350,1500,1495,1300,1350,1300,1295,1275,1400,1375,1400,1400,1200,1250,1200,1400,1400,1400,1265,1225,1100,1250,1300,1250,1200,1260,1350,1275,1300,1200,1200,1200,1250,1300,1250,1300,1300,1250,1200,1300,1350,1250,1250,1200,1200,1250,1200,1250,1387,1272.5,1350,1300,1250
"Nebraska",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,1300,1300,1375,1325,1250,1200,1200,1400,1300,1300,1272.5,1295,1350,1225,1347.5,1395,1300,1300,1450,1400,1395,1295,1272.5,1395,1285,1300,1357.5,1395,1300,1300,1300,1297.5,1350,1500,1337.5,1380,1475,1320,1300,1250,1200,1200,1225,1300,1395,1400,1412.5,1395,1395,1325,1345,1350,1350,1350,1350,1395,1400,1497.5,1490,1400,1450,1447.5,1343,1300,1395,1402.5,1350,1350,1415,1450,1450,1450,1400,1372.5,1300
"Idaho",37,,,,,,,,,,,,1095,1050,1172.5,1125,1100,1000,1025,1095,1070,1095,1092.5,1000,985,1012.5,1070,1050,1075,1125,1125,1100,1100,1100,1100,1125,1095,1095,1125,1200,1200,1195,1150,1150,1195,1195,1195,1195,1150,1195,1195,1195,1200,1262.5,1250,1250,1200,1250,1250,1195,1195,1200,1200,1312.5,1265,1250,1250,1295,1200,1195,1200,1200,1200,1285,1285,1350,1295,1395,1300,1350,1300,1375,1300,1295,1350,1350,1450,1425,1395,1400,1450,1400,1400,1450,1400,1450,1495,1495,1495,1500,1500,1595,1595,1595,1550,1537.5,1550,1550,1575,1575,1595,1695,1695,1695,1650,1695,1650
"Hawaii",38,,,,,,,,,,,,,2425,2800,2900,2800,2800,2900,2725,2795,2800,2600,2575,2600,2595,2600,2600,2600,2700,2697.5,2700,2772.5,2700,2850,2500,2500,2700,2600,2800,2800,2900,2700,2600,2700,2700,2600,2600,2500,2500,2500,2575,2800,3000,3000,2785,2700,2800,2800,2900,2825,2850,2850,3000,3150,3150,3100,2997.5,3000,3200,3200,3200,3000,2900,3100,3100,3000,3300,3100,3000,3025,3000,2995,3000,2900,3100,3200,3200,3200,3200,3150,3000,3000,3000,2955.5,2950,2900,2900,2997,3000,3000,3072,3145,3000,2950,2922.5,2900,3000,2961,3000,3000,3175,3185,3100,3072,3000,2968
