"RegionName","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33333333333333,3.33333333333333,3.38888888888889,3.4,3.33333333333333,3.27777777777778,3.25246470363135,3.27857142857143,3.26666666666667,3.25,3.36363636363636,3.4193546905711,3.4,3.49730458221024,3.40796203934608,3.35571428571429,3.45,3.21666666666667,3.29816513761468,3.375,3.375,3.33333333333333,3.375,3.42789598108747,3.42857142857143,3.43101474166309,3.49625,3.4,3.29411764705882,3.26666666666667,3.25276243093923,3.22128060263653,3.2,3.2,3.27075992033093,3.325,3.31632653061224,3.33333333333333,3.33792358430762,3.28191843331115,3.19266666666667,3.14432989690722,3.10171199786764,3.125,3.12554347826087,3.15710526315789,3.30065359477124,3.33333333333333,3.47058823529412,3.49,3.44627299128751,3.40203092783505
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74166666666667,1.67892839465435,1.7,1.72727272727273,1.67304015296367,1.67532467532468,1.68461538461538,1.6875,1.66180555555556,1.69543969102793,1.66666666666667,1.66619047619048,1.75,1.75357674629378,1.73076923076923,1.78571428571429,1.81125,1.88888888888889,1.99230769230769,1.94736842105263,1.84722222222222,1.91040843214756,1.99266917293233,1.94998160412068,1.89295039164491,1.99333333333333,2,1.97524752475248,2.05034138655462,1.99375,2.11829219745223,2.03619909502262,2.02854896847918,1.99655218459566,1.94117647058824,2.11260827718961,2.0687684729064,2.07904774489077,2.16666666666667,2.23984853367709,2.26190476190476,2.21428571428571,2.2,2.26666666666667,2.23910171730515,2.20246433203632,2.14285714285714,2.17028380634391,2.23038461538462,2.17661691542289,2.14754290171607,2.22091894721101,2.24375,2.17727272727273,2.2265762925599,2.24583333333333,2.2375,2.2656862745098,2.26666666666667,2.29650435978373,2.295,2.24609375,2.33333333333333,2.35948717948718,2.392,2.395,2.41987179487179,2.42857142857143,2.40090909090909
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2785016286645,1.40227804706272,1.18518518518519,1.14583333333333,1.14583333333333,1.3,1.16987179487179,1.26771653543307,1.34646697216666,1.50749802683504,1.52906976744186,1.28476821192053,1.18374461058618,1.25062562562563,1.25284738041002,1.15325958882247,1.16499311109114,1.20945945945946,1.16494266801015,1.15092168519389,1.21428571428571,1.21702898550725,1.15143040136635,1.15879442195232,1.13324175824176,1.17542455765982,1.17514815924177,1.25,1.22727272727273,1.18510158013544,1.22782766014473,1.24978031634446,1.23257839721254,1.24978031634446,1.26794917680744,1.20714285714286,1.20683760683761,1.18473101265823,1.1625,1.19230769230769,1.25,1.21378398102536,1.21323529411765,1.17481662591687,1.15625,1.13962925570699,1.15491382378362,1.17058823529412,1.15646258503401,1.17647058823529,1.20080174927114,1.20305425666147,1.21166387959866,1.22307692307692,1.19948979591837,1.195,1.16666666666667,1.20375,1.16666666666667,1.17775354416576,1.17156998308173,1.2,1.15928748876128,1.18179542203147,1.18903922164792,1.15909090909091,1.17647058823529,1.15134975353051,1.13636363636364,1.09281437125748
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83472263263936,1.88118811881188,1.92179487179487,1.93333333333333,1.97,1.85714285714286,1.88532534880849,1.92857142857143,1.92307692307692,1.85714285714286,1.89,1.895,1.86919482386772,1.875,1.875,1.86408349882233,1.95,1.95238095238095,2.09121338912134,2.125,2.12346310902277,2.04,2.07477403451109,2.10714285714286,2.11111111111111,2.10714285714286,2.2,2.25810877605631,2.35,2.375,2.19,2.07769230769231,1.96240105540897,2.04,2.1875,2.28125,2.1,2.08057851239669,2.05882352941176,2.05714285714286,1.99689102564103,2.07142857142857
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,0.697471665213601,0.690789473684211,0.694444444444444,0.678571428571429,0.745235788911842,0.725534308211474,0.72,0.72,0.734805400512898,0.73389651531151,0.736709601873536,0.75,0.75,0.75338643590998,0.777777777777778,0.830587606837607,0.79375,0.796078431372549,0.799108734402852,0.8,0.818581383454801,0.813049626467449,0.815727848101266,0.821572580645161,0.848344429325662,0.829230769230769,0.845814977973568,0.85278276481149,0.869346733668342,0.887622461170848,0.902777777777778,0.916666666666667,0.916666666666667,0.921976592977893,0.916964996022275,0.916666666666667,0.916666666666667,0.916666666666667,0.924768518518518,0.893642251208611,0.857142857142857,0.857142857142857,0.887896825396825,0.887896825396825,0.921792328042328,0.909549303826868,0.917561863237066,0.884016973125884,0.877350143773501,0.908602150537634,0.933333333333333,0.902640738257177,0.931982633863965,0.933769106999195,0.931283422459893,0.966666666666667,0.944268635724332,0.945380116959064,0.907222548443922,0.897944547707559,0.943080357142857,0.968181818181818,0.963506815365551,0.979974613354712,1.08399545970488,0.954954954954955,0.983935742971888,0.99369087702421,0.991898148148148,1.03333333333333,0.966776195691858,0.977893309222423,0.970490376740377,0.976210008203446,1.02353659694155,1.00148367952522,1.00602409638554,1.05064293606626,1.01043630840142,1.0023247206553,1.00401606425703,1.02543068088597,1.02040816326531,1.02407897680662,1.00343714927048,0.984413453650533,0.983935742971888,0.983935742971888,0.972222222222222,0.974972766884532,0.967413441955194,0.97809667673716,0.959839357429719,0.97809667673716,0.982730263157895,0.985755113922041,0.984413453650533,0.984413453650533,1,1,0.983935742971888,0.983935742971888,0.97809667673716,0.97809667673716
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29229797979798,1.275,1.25384615384615,1.25955088947215,1.25384615384615,1.31818181818182,1.28440366972477,1.28386398369842,1.31027253668763,1.25,1.31818181818182,1.28348214285714,1.3125,1.33333333333333,1.35,1.43333333333333,1.45454545454545,1.42857142857143,1.375,1.37596153846154,1.36005291005291,1.37113402061856,1.375,1.43333333333333,1.375,1.4,1.4125,1.46,1.58531746031746,1.52777777777778,1.53205128205128,1.625,1.53589743589744,1.53571428571429,1.46076923076923,1.5,1.47058823529412,1.58429118773946,1.61928934010152,1.64285714285714,1.60990945674044,1.63181818181818,1.64285714285714,1.65177165354331,1.61928934010152,1.61928934010152,1.495,1.5,1.44620412267471,1.49909090909091,1.44151565074135,1.495,1.58114035087719,1.6,1.6,1.66666666666667,1.64667832167832,1.58333333333333,1.58653846153846,1.5625,1.5625,1.53964743589744,1.54166666666667,1.5975,1.625,1.54356060606061,1.55555555555556,1.5,1.52777777777778,1.58536585365854
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,,,,,,,,,,0.8125,0.769230769230769,0.763763197586727,0.765686274509804,0.737593433626644,0.75830393583133,0.764705882352941,0.75,0.767916165865385,0.78125,0.791666666666667,0.785714285714286,0.78196872125115,0.781818181818182,0.77319587628866,0.8,0.81328320802005,0.809792843691149,0.767937062937063,0.78125,0.773688291961466,0.765470085470085,0.770833333333333,0.760233918128655,0.753856942496494,0.762857142857143,0.75,0.73651671284593,0.75,0.779449884792627,0.766666666666667,0.770309634264754,0.793333333333333,0.817215434527507,0.846153846153846,0.811363077679449,0.838572017635677,0.85,0.875,0.875,0.836377946650124,0.8125,0.820707070707071,0.8125,0.84,0.857142857142857,0.899580692023244,0.822478991596639,0.888483373884834,0.823529411764706,0.868204176224372,0.865928013233923,0.887777777777778,0.888077858880779,0.916666666666667,0.921296296296296,0.9565,0.990079365079365,1.01697742579197,1.02941176470588,1.01388888888889,1.05,1.05,1.07908653846154,1.08954545454545,1.06912280701754,1.0625,1.0625,1.05536398467433,1.10912698412698,1.1244826305363,1.11111111111111,1.13333333333333,1.12513157894737,1.14705882352941,1.1286231884058,1.12216969077434,1.112,1.13224637681159,1.16185897435897,1.1377245508982,1.16472868217054,1.18918918918919,1.17529411764706,1.17529411764706,1.17241379310345,1.1875,1.18962432915921
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,,,,,,,,,,,,,,,,,,,,0.643650793650794,0.679163270850312,0.671140939597315,0.661521499448732,0.676041103299081,0.707285043090289,0.719424460431655,0.72073430487182,0.717852684144819,0.719895287958115,0.706671401515152,0.70952380952381,0.707509881422925,0.707054514186887,0.708661417322835,0.716941051513542,0.721232660781841,0.728404099560761,0.732695139911635,0.724400871459695,0.709923612610667,0.705980066445183,0.715488215488216,0.701219512195122,0.712225621166019,0.726010101010101,0.732142857142857,0.741287128712871,0.748283597908521,0.767215480541205,0.759668508287293,0.747605164514786,0.737940964722822,0.751403447654306,0.760367787520104,0.777256369361633,0.775002066042525,0.77245883413197,0.785714285714286,0.78740157480315,0.806871639784946,0.775434243176179,0.783699059561129,0.782034147594574,0.78125,0.777777777777778,0.794117647058823,0.804175423428726,0.819088319088319,0.81125,0.81125,0.809464508094645,0.807223264540338,0.817647058823529,0.834404455869752,0.808383233532934,0.821115154109589,0.891025641025641,0.914754098360656,0.932122370936903,0.844155844155844,0.882726120983149,0.893888690283128,0.874119718309859,0.875,0.855242318656953,0.847893114080164,0.879349739744684,0.893921334922527,0.904392764857881,0.925519934828446,0.997504678727386,0.964708236968511,0.96401028277635,0.968992248062015,0.952121871599565,0.984146666310421,0.979325353645267,0.965130759651308,0.979325353645267
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,,1.38046934493278,1.42970701794231,1.52647873553854,1.43303571428571,1.5,1.50887573964497,1.47222222222222,1.5,1.5,1.46341463414634,1.41421568627451,1.46153846153846,1.494375,1.47368421052632,1.47826086956522,1.5375,1.57742998352554,1.59189252336449,1.53076923076923,1.53186392044338,1.54442148760331,1.595,1.59135298295455,1.72272727272727,1.75038619979403,1.71385991058122,1.69211195928753,1.77512355848435,1.74561403508772,1.70454545454545,1.72121212121212,1.77777777777778,1.92903225806452,1.83846153846154,1.85527287092626,1.7975,1.81818181818182,1.85241935483871,1.84423076923077,1.89087301587302,1.99166666666667,2.01171875,2.00945649730216,2,1.92307692307692,2.05154639175258,2.079703900987,2.08333333333333,2.11111111111111,2.07465277777778,2.1941309935208,2.28475726465982,2.31372549019608,2.29986431478969,2.21082854799016,2.095,2.06060606060606,2.08930540242558,2.10555555555556,2.13,2.10866013071895,2.21666666666667,2.13352534562212,2.14615384615385,2.23275862068966,2.24685251798561,2.22222222222222,2.25,2.33333333333333,2.395,2.42225274725275,2.35714285714286,2.37414187643021,2.35025510204082,2.28645833333333,2.27097902097902,2.36220472440945,2.3,2.29337431693989,2.35,2.37704918032787,2.42752100840336,2.45608974358974,2.45384615384615,2.4029653226829,2.49136904761905,2.52880184331797,2.47021081576535,2.53859924104933,2.5,2.47268144614884,2.43428098369919,2.4624358974359,2.5027027027027,2.52277432712215,2.53636363636364,2.48141360441089
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42505133470226,1.41666666666667,1.51376146788991,1.4987146529563,1.50547445255474,1.5139116202946,1.61538461538462,1.49102564102564,1.47604485219164,1.561144839549,1.56688596491228,1.48687652377083,1.41778499278499,1.36027210884354,1.325,1.33333333333333,1.325,1.31109022556391,1.325,1.325,1.35860515231658,1.31367184356643,1.2767094017094,1.32142857142857,1.35190217391304,1.35198017124831,1.33909892408846,1.32470238095238,1.36677456010468,1.39285714285714,1.37580570902394,1.395
