"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
9,"California",1,5.0252464534744,4.88095238095239,4.96508921644686,5.12820512820513,5.0125313283208,4.99982488474133,4.90677134445535,4.72817704432795,4.59364389919458,4.5662100456621,4.52173913043479,4.43478260869565,4.444338271369,4.49284664471359,4.61223542791147,4.78468899521531,4.5475216007276,4.44444444444444,4.41176470588235,4.40484537400837,4.29906542056074,4.34782608695652,4.19666753000086,4.13333333333333,4.10367923637471,4.11616464658586,4.08204923120504,4.4543429844098,4.3010752688172,4.18410041841004,4.18242906918865,4.01606425702812,4.07999999999999,3.86100386100386,3.68015414258189,3.41880341880342,3.38709677419354,3.38983050847458,3.33374079095274,3.43347639484979,3.33333333333333,3.22582552907664,3.16266032104542,3.12825860271115,3.11804008908686,3.08641975308642,3.03951367781155,2.94498381877023,2.99625468164794,3.03060915243965,3.03779378924963,3.15168880784927,3.125,3.03122158229766,3.03951367781155,3.13176200417536,3.08166409861325,3.06441525953721,3.00375469336671,2.92853013783659,2.94498381877023,3.00375469336671,3.03030303030303,3.09278350515464,3.07600980410709,2.98507462686567,3.0304866961634,2.97142857142857,2.99401197604791,2.92682926829269,2.86532951289399,2.78164116828929,2.85714285714286,2.86298568507157,2.85795941697627,2.77777777777778,2.85714285714286,2.85714285714286,2.81124497991968,2.78164116828929,2.83018867924528,2.77777777777778,2.74255741137858,2.67022696929239,2.65721877767936,2.63192525332281,2.58030542390731,2.57972086144745,2.67165582210322,2.64492400887014,2.6315858725944,2.57827362481331,2.58631985786626,2.60080719359671,2.59354838709678,2.56410256410257,2.5706940874036,2.65822784810127,2.5974025974026,2.52372421154396,2.50062515628907,2.45566166439291,2.4390243902439,2.52143217347454,2.50125062531266,2.49940548417978,2.50125062531266,2.44648318042814,2.48470590436279
54,"Texas",2,4.00667779632721,3.96432111000992,3.87096774193548,4.15525114155251,4.00667779632721,4.00801603206413,3.84763370527126,3.70370370370371,3.5483870967742,3.51724137931034,3.47624565469293,3.59579653741224,3.6693847294292,3.72149785263572,3.77987421383648,4.09270649885434,3.88752107372556,3.73134328358209,3.51254480286738,3.44086021505376,3.35570469798657,3.33481551475098,3.33416689821761,3.3816425120773,3.41040210546508,3.4453781512605,3.584229390681,3.65853658536586,3.6697247706422,3.33611342785655,3.27868852459017,3.20422261972745,3.25271059216014,3.13620028865683,3.1578947368421,3.16205533596838,3.12985030644502,3.2258064516129,3.24324324324324,3.42572440575257,3.38299540719167,3.22684737011939,3.12695434646654,3.125,3.0420326968398,3.03214069132808,3.03214069132808,3.03214069132808,3.0778701138812,3.125,3.07692307692308,3.26164874551972,3.24324324324324,3.16106539858945,3.07929176289453,3.09007986790228,3.03030303030303,3.01492537313433,2.97756215888417,3.00003750093752,3.06441525953721,3.03214069132808,2.98942243134108,3.07677396403823,3.07242896897138,3.06936771025169,3.02458611641535,2.89299120468817,2.89865784913368,2.85714285714286,2.78260869565218,2.84431137724551,2.84495021337127,2.85714285714286,2.77962231269624,2.85718367463561,2.85714285714286,2.78551532033426,2.77777777777778,2.67269082964902,2.66666666666666,2.63164820126846,2.5974025974026,2.60223048327137,2.5635593220339,2.63157894736842,2.54237288135594,2.60416666666666,2.66666666666666,2.65465188496198,2.53460713589394,2.51567840769558,2.53164556962026,2.5,2.53164556962026,2.48780487804878,2.45122561280641,2.50724233983287,2.44897959183673,2.48339653854789,2.50156347717323,2.51572327044025,2.43712877543283,2.44292682926829,2.34682627185383,2.3463687150838,2.37209302325582,2.35294117647059,2.36503856041131
43,"New York",3,4.54545454545454,4.41176470588235,4.36681222707423,4.76190476190477,4.5475216007276,4.4543429844098,4.3070163759819,4.16666666666666,4.11015207562679,4.17014178482068,4.31137724550898,4.21455938697318,4.37158469945356,4.35161009573543,4.38156184381562,4.66200466200466,4.41176470588235,4.38364224771992,4.14507772020726,4.03846153846153,4.04040404040404,4.1095890410959,4.08678065054212,4.08997955010225,4.1095890410959,4.14507772020726,4.16753490310481,4.5475216007276,4.25176056338028,4.06121247792819,4.06976744186046,4.00320256204964,4.00320256204964,4.0016006402561,4.00320256204964,4.00667779632721,4.04224143318915,4.00801603206413,4.01606425702812,4.34782608695652,4.16662847215856,4.17014178482068,3.92927308447937,3.84911470361817,3.86100386100386,3.87102749015648,3.87096774193548,4.00320256204964,4.0016006402561,4.06312656416735,4.03225806451613,4.34782608695652,4.04335297205857,4.16,3.94270967741935,3.92156862745098,4.00016000320013,3.8961038961039,3.95256916996047,4.0016006402561,4.07407407407407,4.07522810749879,4.13793103448276,4.4961869951717,4.25531914893616,4.15202320727576,4.0241448692153,3.98230088495575,3.92156862745098,3.97407905049826,4.0016006402561,4.00667779632721,4.06091370558376,4.16666666666666,4.05405405405406,4.37361008154188,4.25507469353033,4.08163681800101,4.00801603206413,4.00016,4.000008000016,4,4,4.00266844563042,4.00667779632721,3.96825396825397,4.04005730659026,4.25531914893616,4.13793103448276,4.05198312236287,4.00320256204964,3.84911470361817,3.84763370527126,3.8461172336926,3.84911470361817,3.84911470361817,3.85356454720617,3.85642737896494,3.84911470361817,4,3.84738699882696,3.75469336670838,3.69623963173085,3.70438970179663,3.71747211895911,3.71747211895911,3.70644922164566,3.68015414258189,3.76344086021505
14,"Florida",4,6.66666666666667,6.06060606060606,5.91715976331361,6.21359223300971,6.11285266457681,5.91715976331361,5.80568720379147,5.63380281690141,5.58659217877095,5.64994661864636,5.5963623644631,5.40540540540541,5.47945205479452,5.40540540540541,5.40858478829943,5.44186046511628,5.21739130434783,5.06649778340722,5.08508474576271,5,5,4.92333812197989,4.78414404202679,4.77099236641222,4.76190476190477,4.76230158730159,4.76303881876637,5.00125031257814,4.83870967741935,4.65116279069767,4.41529772655601,4.53834115805947,4.45713675669905,4.34858236214994,4.44444444444444,4.38356164383562,4.34971726837755,4.31519699812383,4.54545454545454,4.96863343681848,4.61297888975762,4.35088811839156,4.11522633744856,4.04040404040404,4.0016006402561,3.91364741047582,3.86803185437997,3.84911470361817,3.78583017847485,3.85356454720617,3.80954213158907,4.15988419204819,3.85790795485491,3.70644922164566,3.584229390681,3.57142857142857,3.51493848857645,3.43347639484979,3.4453781512605,3.36700336700336,3.34448160535117,3.33388898149691,3.33889816360601,3.55484101464809,3.35483870967742,3.33444481493831,3.23624595469255,3.14285714285715,3.04545454545454,3.03214069132808,2.91428571428571,2.94149656014894,2.88404944084756,2.94290759270159,2.98730395817774,3.05010893246187,3.02295214855175,2.98618887644644,2.93040293040293,2.85795941697627,2.79069767441861,2.7461749705767,2.73972602739726,2.70416441319632,2.77777777777778,2.77888469851352,2.70416441319632,2.77932184546971,2.80561122244489,2.77854959711031,2.77777777777778,2.72373540856031,2.63227165043433,2.56581310786252,2.5980774227072,2.52897787144363,2.51572327044025,2.62586901651685,2.60827220987917,2.7027027027027,2.70557139703862,2.7063599458728,2.6829268292683,2.5980774227072,2.5706940874036,2.50125062531266,2.45566166439291,2.4822695035461,2.45614035087719
21,"Illinois",5,4.76190476190477,4.57286432160804,4.76190476190477,5.09059534081104,5.26315789473685,5,4.77326968973747,4.44444444444444,4.25531914893616,4.34782608695652,4.37218207369507,4.46286306109442,4.44444444444444,4.62249614791987,4.95619555459315,5.12820512820513,5,4.71414242728184,4.3695652173913,4.34971726837755,4.34782608695652,4.26200740561133,4.35203094777563,4.40528634361234,4.44444444444444,4.49438202247191,4.65127096230544,5.26315789473685,4.95247623811906,4.76190476190477,4.54545454545454,4.31137724550898,4.17014178482068,4.03648065527845,4.01606425702812,4.00667779632721,4.01606425702812,4.08163265306123,4.44444444444444,5.26870389884089,4.82862276276691,4.6923076923077,4.1095890410959,3.70644922164566,3.57398141529665,3.47914481794263,3.57270453733476,3.61532899493854,3.67503775907668,3.80952380952381,4.01146131805158,4.76322788826537,4.25531914893616,4.00320256204964,3.584229390681,3.38397790055248,3.33333333333333,3.27968181732827,3.33555703802535,3.33444481493831,3.41296928327645,3.38983050847458,3.48724608524629,4.00320256204964,3.57270453733476,3.35483870967742,3.35570469798657,3.16205533596838,3.10481350281309,3.1,3.11517576450414,3.1578947368421,3.12695434646654,3.17535923252145,3.24696621843227,3.58620689655172,3.26164874551972,3.03336703741153,3.03049129867816,2.94985250737463,2.9948962833826,2.94985250737463,2.94117647058824,3.03030303030303,2.96406076324565,2.94204177699323,2.94290759270159,3.17460317460317,3.07692307692308,3.01003344481605,2.9392213651488,2.85795941697627,2.85715102043149,2.87769784172662,2.91428571428571,2.86210800705653,2.85918513223731,2.89687399291009,2.94364251888514,3.12597686777117,3.03122158229766,2.89282897337422,2.77970813064629,2.8169014084507,2.81081081081082,2.85771428571429,2.85714285714286,2.85714285714286,2.8836177065934
47,"Pennsylvania",6,4.34782608695652,4.17014178482068,4.13698630136986,4.58102691353312,4.35161009573543,4.34782608695652,4.08673894912427,4,3.89423076923077,3.92310710082385,4.08329930583912,4.15481349229905,4.15929203539823,4.17014178482068,4.36681222707423,4.74119182253153,4.38476327805816,4.09142212189616,4.000800160032,3.87316421895861,3.85050962627407,3.9798578951627,4.00208216601541,4.0693737339885,4.00320256204964,4.02811570694782,4.02666666666667,4.54545454545454,4.34782608695652,4.05405405405406,3.88888888888889,3.84763370527126,3.84624260650899,3.84763370527126,3.93700787401575,4.00320256204964,3.96039603960396,4,4.08673894912427,4.5662100456621,4.34782608695652,4.17014178482068,3.84969104164866,3.71747211895911,3.6979969183359,3.70644922164566,3.7956204379562,3.84763370527126,3.75093773443361,3.7940379403794,3.84911470361817,4.41176470588235,4.13240216537873,4.10581492871122,3.77405963014216,3.55562802638544,3.59924181358687,3.61532899493854,3.70644922164566,3.79746835443038,3.77358490566038,3.70644922164566,3.77777777777778,4.3010752688172,4.00320256204964,3.84763370527126,3.62450163102573,3.57398141529665,3.54412786657401,3.57792601576713,3.62903225806451,3.70644922164566,3.57598978288634,3.57270453733476,3.77777777777778,4.000016000128,3.84763370527126,3.70644922164566,3.45065562456867,3.42490188666009,3.36842105263158,3.42679127725857,3.5483870967742,3.6350238858287,3.50877192982456,3.44906875143711,3.57143494900237,3.84911470361817,3.62581580855692,3.51185250219491,3.55029585798816,3.43347639484979,3.44891015168766,3.46020761245674,3.4494653328734,3.51724137931034,3.55759152760726,3.51724137931034,3.57142857142857,3.7774213965371,3.63855421686747,3.47490347490348,3.41685649202733,3.38983050847458,3.40367597004765,3.38713343941804,3.4494653328734,3.46782260753584,3.39097999321804
44,"Ohio",7,5.0251256281407,4.9049049049049,5,5.64431978917038,5.55555555555556,5.59832050384884,5.183833468505,4.76190476190477,4.49630051223677,4.40602355072464,4.5475216007276,4.54959053685169,4.76190476190477,4.7020627129813,4.93662441627751,5.45454545454546,5.0561797752809,4.76644423260247,4.41320517558669,4.25531914893616,4.15335463258786,4.16,4.17014178482068,4.17014178482068,4.26457789382071,4.36172341276936,4.54959053685169,5.34979423868313,5.29100529100529,5.13083632632119,4.87804878048781,4.35406698564593,4.23611111111111,4.24088210347753,4.18410041841004,4.2571306939123,4.32389154566897,4.44938820912124,4.6482892874297,5.40832882639265,5.02614977059209,4.76644423260247,4.29184549356223,4.03225806451613,3.8961038961039,3.85356454720617,3.90723041412693,3.84862091084028,3.90273964366595,4.04,4.32345876701361,4.9490455136691,4.4543429844098,4.17014178482068,3.95348837209303,3.84615384615384,3.84305110829796,3.84630178083772,3.84911470361817,3.84911470361817,3.88888888888889,3.87312186978297,4.00320256204964,4.58015267175572,4.17246175243393,4.1095890410959,3.87096774193548,3.73412994772218,3.70644922164566,3.70644922164566,3.63636363636364,3.76146788990825,3.83546414674819,3.87096774193548,3.97379912663756,4.44938820912124,4.04040404040404,3.84615384615384,3.77777777777778,3.67272727272727,3.63768643142961,3.58620689655172,3.57792601576713,3.59408033826638,3.57398141529665,3.63636363636364,3.77348290585214,4.17014178482068,3.93039883551674,3.84911470361817,3.66788929643215,3.48837209302325,3.49446827910158,3.5,3.48411727157779,3.45065562456867,3.48612007746933,3.50877192982456,3.45065562456867,3.6340180797496,3.63636363636364,3.50877192982456,3.3955857385399,3.49372205549091,3.4494653328734,3.40986587860878,3.42007434944238,3.4494653328734,3.33889816360601
30,"Michigan",8,7.15307582260372,6.97674418604651,7.14796283059328,8.0267558528428,8.00399012651656,8.33745794271968,7.69822940723633,7.09542913955401,6.66666666666667,6.25390869293309,6.25782227784731,6.25782227784731,6.57738416675667,6.67556742323098,6.91220871327254,7.81925474565367,7.23519322905986,7.02087286527514,6.25782227784731,6.1624407338693,5.88928150765606,5.88928150765606,6.00000000000001,5.90590590590591,5.91715976331361,5.87618695276853,6.25782227784731,7.14796283059328,7.007007007007,6.6711140760507,6.25782227784731,5.82893041181831,5.62440419447092,5.19294902334445,5.26120857699806,5.14138817480719,5.11406062765428,5.26592943654555,5.55864369093941,6.67556742323098,6.50406504065041,6.06428138265616,5.54855863420095,4.79365079365079,4.44543231829295,4.34782608695652,4.36363636363636,4.34971726837755,4.37710437710438,4.35161009573543,4.62311557788945,5.0188214550594,4.95679854479308,4.89795918367347,4.36681222707423,4.16840350145894,4.16840350145894,4.17014178482068,4.18410041841004,4.14141414141415,4.16840350145894,4.17014178482068,4.16666666666666,4.85714285714286,4.44543231829295,4.49438202247191,4.41826215022091,4.05425536917262,4.000800160032,4.00534045393859,4.0016006402561,4.0016006402561,4.0016006402561,4,4.11522633744856,4.4175506748344,4.16416566626651,4.01606425702812,3.84911470361817,4,3.79310344827586,3.84615384615384,3.84615384615384,3.7328094302554,3.75469336670838,3.70644922164566,3.80890897353131,4.07177363699103,4,3.92156862745098,3.8647342995169,3.70644922164566,3.6697247706422,3.70644922164566,3.74685686537528,3.61532899493854,3.59680676511422,3.63636363636364,3.57398141529665,3.80753138075314,3.64298724954463,3.57286410430829,3.5438596491228,3.50250178699071,3.50877192982456,3.45027544215715,3.48837209302325,3.50877192982456,3.46076458752516
16,"Georgia",9,6.06060606060606,5.85774058577406,5.88581518540318,6.42201834862385,6.25782227784731,6.39979411351832,6.20812862885216,5.74019560721124,5.62113546936481,5.66037735849056,5.71428571428572,5.57067799915437,5.71755288736421,5.85896656747891,5.91715976331361,6.38795986622074,5.88581518540318,5.56173526140156,5.26592943654555,5.08860467362952,5,5.00454959053686,4.76644423260247,4.93639731452173,4.7951582867784,4.85714285714286,4.95647675047402,5.35905680600214,5.0251256281407,5,4.78260869565217,4.43478260869565,4.38695163104612,4.25531914893616,4.25985090521832,4.16840350145894,4.21729807005003,4.19392073874567,4.35406698564593,5,4.69072164948454,4.11004566210046,4.01129943502825,3.77777777777778,3.70507595405706,3.55253236429707,3.65853658536586,3.51724137931034,3.57894394086785,3.64305496306228,3.73493975903615,4.06740404613348,3.84911470361817,3.70507595405706,3.5483870967742,3.51966873706004,3.35483870967742,3.27956989247312,3.26876513317191,3.32807819247666,3.33555703802535,3.33333333333333,3.38711510680579,3.61532899493854,3.44827586206896,3.33377783704494,3.25088339222614,3.10329528129346,3.03030303030303,3.03214069132808,2.97458085451595,3.04846367653147,3.06748466257669,3.13932285249618,3.12145949759275,3.20427236315087,3.16056624704882,3.03033976169408,2.85714285714286,2.8109627547435,2.82685512367491,2.76708523169241,2.76595744680851,2.74229198142242,2.81081081081082,2.85714285714286,2.80558338900022,2.72373540856031,2.94985250737463,2.72850122850123,2.72373540856031,2.63717686482121,2.62008733624454,2.64550264550265,2.66737796745798,2.66666666666666,2.70324324324325,2.68395443078509,2.56476019492178,2.66731867921688,2.59259259259259,2.5974025974026,2.50062515628907,2.44201316759293,2.39893665711769,2.44021473889702,2.43974697005476,2.43932186852055,2.32666356444858
36,"North Carolina",10,4.76630224737065,4.54545454545454,4.46144040790313,5.00250125062531,4.85714285714286,4.5475216007276,4.35550323719835,4.16840350145894,4.01767778224187,4.12007062978222,4.16736122687115,4.16840350145894,4.30851063829787,4.18410041841004,4.35729847494554,4.58015267175572,4.39024390243903,4.19534461350485,3.9820271758061,3.92747589833479,3.88807904114026,3.93648258944283,4.01606425702812,4.00320256204964,3.95108534046982,4.00114318376679,4.16666666666666,4.49438202247191,4.44406522563519,4.1095890410959,3.96630826653581,3.70644922164566,3.64298724954463,3.63636363636364,3.65461847389559,3.70507595405706,3.63128491620112,3.63327641913676,3.84615384615384,4.28571428571428,4,3.80915736821854,3.50584307178631,3.355271703832,3.33333333333333,3.38983050847458,3.41867637768942,3.33555703802535,3.37335620354489,3.4401876465989,3.5,3.72593148287071,3.57142857142857,3.47490347490348,3.30872995673199,3.22814948434539,3.22632682690757,3.21452736968321,3.22684737011939,3.15625,3.10679611650485,3.2258064516129,3.12775330396475,3.51351351351351,3.29920364050057,3.33333333333333,3.13508545763057,3.00375469336671,2.97146322446504,3.03030303030303,3,3.03951367781155,3.03214069132808,3.1578947368421,3.09090909090909,3.18006842833224,3.06441525953721,2.90259559933131,2.83185840707965,2.82087447108603,2.82712014134275,2.84722222222222,2.80555555555555,2.81851167983511,2.80320366132724,2.82992714899675,2.70416441319632,2.77932184546971,2.77896211610896,2.77932184546971,2.66666666666666,2.67022696929239,2.62337662337663,2.6829268292683,2.74611913020221,2.70416441319632,2.70416441319632,2.71368891014909,2.5,2.52393385552655,2.5,2.5,2.38663484486874,2.54237288135594,2.41796200345423,2.4999024999025,2.50000312500782,2.42603550295858,2.43908388009464
