SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
20,31,Minnesota,State,MN,27716,27190,26310,25933,26028,26007,25949,25579,25408,26126,27098,27909,28147,27537,27396,27817,28095,29354,30664,30776,31787,33210,32778,31707,31190,31150,31865,32082,30797,30182,30214,30402,30836,30164,29975,30163,29620,30166,31225,31287,31678,31807,30843,30073,28857,27480,26810,26224,26027,26475,26573,26023,25223,24086,23600,23880,23577,23364,23639,23692,23867,23853,23113,22809,23295,23184,23145,23618,23587,23372,23143,23196,23272,22513,21597,21781,22491,22742,22624,22107,21853
21,10,Colorado,State,CO,42575,42503,42264,42437,42929,42760,41899,40522,39754,39892,39443,39148,39213,38434,38363,38965,38538,38655,38924,37926,37256,36379,35072,34412,34023,33955,34251,33549,31775,31509,32059,32309,32564,32053,31946,31592,29909,29126,29116,28454,28915,30244,30747,31008,30566,30072,30158,29713,29499,29957,29409,28436,28443,27601,26472,26463,25857,25166,25309,25687,26288,26365,26e3,26221,26519,25877,25579,26391,27378,28245,28338,28544,29278,29058,28388,28602,28391,27360,26873,26390,26255
22,4,Alabama,State,AL,35472,35208,34773,34951,35617,35727,35176,34128,32885,32246,32306,32483,32412,31929,31920,32352,32189,32320,33092,33860,34811,35470,35652,35813,35691,35827,36650,36639,35652,35798,36319,36007,35515,34764,34431,34426,34035,34164,34413,33962,34162,34580,34182,34125,34229,34273,34446,34100,33903,34252,34129,33671,33177,32290,31933,32082,31877,31669,31314,31006,31147,30874,30251,30118,30142,29584,29106,29043,28967,28941,28478,28176,28335,27773,26680,26335,26484,26287,25793,25237,25139
23,51,South Carolina,State,SC,47731,47671,47863,49104,50499,50070,48858,48096,48078,48452,48126,47864,47920,47588,47991,48885,49011,49384,49508,48849,49088,49305,48557,47745,47049,46158,45436,44159,41930,42112,43538,43862,43802,42665,41937,41766,40894,40757,40800,39894,40046,40668,40280,40031,39241,38412,38570,38519,38650,39401,39257,38244,37601,36771,36327,36427,35810,35578,35984,36047,36039,35675,34896,34697,34854,34121,33428,33382,33456,33769,33517,33566,34159,33956,33674,34218,34482,33836,33461,33357,33226
24,25,Louisiana,State,LA,18313,18069,17664,17419,17314,17184,17098,17001,17144,17603,17872,17909,17757,17299,17115,17252,17079,17062,17160,16979,17109,17328,17401,17544,17396,17114,17327,17492,17121,17223,17532,17615,17700,17228,16946,17117,16977,17028,17249,17032,17101,17526,17793,18085,18080,18150,18426,18326,18701,19927,20504,20678,21373,21636,21819,22399,22619,22840,23299,23550,23724,23842,24037,24406,24579,24350,24158,24155,24202,24292,24038,23956,24199,24012,23700,23800,23983,23945,23734,23396,23285
25,24,Kentucky,State,KY,28600,28705,28860,29240,29599,29356,28772,28085,27898,28020,27633,27446,27451,26977,26977,27461,27400,27573,27902,27651,27669,27716,27402,27206,26825,26289,26367,26350,25575,25424,25574,25416,25100,24213,23699,23530,23084,23195,23401,22902,22711,22723,22482,22453,22051,21675,21719,21469,21453,21877,21585,20717,20264,19806,19523,19716,19603,19582,19892,19963,20012,19835,19305,19279,19720,19647,19436,19544,19679,19867,19709,19601,19744,19331,18592,18289,18162,17910,17689,17357,17233
26,46,Oregon,State,OR,25423,25368,25154,25058,24864,24320,24103,24111,24201,24507,24670,24830,24859,24503,24689,25450,25830,26127,26063,25427,25330,25296,24824,24501,24270,24231,24651,24683,23997,23843,23657,23252,23099,22348,21788,21551,20993,20922,20867,20145,20068,20491,20555,20677,20288,19840,19959,19695,19394,19590,19426,18929,18671,18366,18598,19223,19094,18968,19162,19174,19299,19208,18933,19131,19424,19126,18994,19346,19692,19987,19861,19944,20277,19943,19336,19199,19276,19212,18853,18039,17672
27,45,Oklahoma,State,OK,24748,24419,24012,24084,24454,24516,24242,23683,23330,23321,23090,23057,23151,22606,22373,22696,22634,22766,22946,22714,22843,22944,22726,22580,22398,22247,22340,22211,21488,21391,21781,22111,22636,22759,22973,23205,23078,23490,24005,23929,24045,24124,23835,23779,23542,23356,23477,23309,23449,24609,25396,24906,24380,24061,24099,24407,24077,23835,24035,24100,24033,23564,22954,23024,23475,23336,23059,23095,23053,22860,22322,21950,21746,20917,19988,19837,19931,19756,19394,18803,18538
28,11,Connecticut,State,CT,29250,29233,29091,29161,29176,28718,28174,27705,27868,28310,28097,28112,28636,28790,29123,29930,30514,31215,31474,30972,30930,31361,31990,31918,30659,29575,29499,29775,29690,30238,30885,30833,30552,29544,28628,28100,27474,27669,28173,27758,27465,27367,26633,25974,25364,24905,24816,24777,24955,25326,25107,24298,23699,22868,23114,24537,24444,23886,23833,23544,23276,22644,21796,21446,21328,20886,20453,20321,20467,20549,20175,20301,21083,21249,20711,20354,20086,19758,19329,18602,18460
29,19,Iowa,State,IA,19275,19267,19194,19477,19950,19957,19668,19233,18985,18931,18563,18300,18198,17867,17970,18520,18744,18974,19116,18785,18698,18698,18391,18195,18153,18139,18037,17116,15668,15298,15448,15476,15627,15424,15401,15572,15354,15343,15551,15518,15775,16117,16097,16034,15747,15807,16310,16310,16328,16723,16627,16165,15830,15285,15017,15343,15485,15451,15522,15612,15741,15776,15696,15791,16094,16014,15902,16148,16253,16173,15872,15768,15811,15335,14917,15280,15750,15902,15947,15727,15615
30,34,Mississippi,State,MS,15175,15208,15315,15556,15860,15977,15849,15554,15464,15483,15221,15108,15066,14579,14310,14581,14816,15018,15041,14835,14838,14832,14772,14847,14936,15075,15162,14363,12877,12436,12711,12789,13110,13543,13829,13874,13684,13785,14099,14271,14634,14880,14982,15324,15282,15054,15072,15e3,15085,15382,15229,14797,14557,14275,14238,14386,14087,13809,14014,14225,14198,13945,13765,14144,14692,14667,14414,14432,14481,14290,13821,13572,13722,13770,13660,13816,14135,14207,13963,13552,13406
