"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"Hartford County","CT","Hartford-West Hartford-East Hartford",56,1301,0.001195,0.003005,0.008564,477697
2019-09-30,"Duval County","FL","Jacksonville",57,1227,0.003331,0.012926,0.034697,358007
2019-09-30,"Prince Georges County","MD","Washington-Arlington-Alexandria",58,1684,0.000888,0.001087,-0.013426,280867
2019-09-30,"New Haven County","CT","New Haven-Milford",59,1330,0.003657,0.009267,-0.002992,376537
2019-09-30,"Macomb County","MI","Detroit-Warren-Dearborn",60,1204,0.004207,0.012335,0.015238,330761
2019-09-30,"Kern County","CA","Bakersfield",61,1188,0.006184,0.017792,0.036938,238823
2019-09-30,"Ventura County","CA","Oxnard-Thousand Oaks-Ventura",62,2607,0.00291,0.011815,0.011314,239396
2019-09-30,"Middlesex County","NJ","New York-Newark-Jersey City",63,1869,0.002074,0.003379,-0.006943,228142
2019-09-30,"Gwinnett County","GA","Atlanta-Sandy Springs-Roswell",64,1431,0.002229,0.010793,0.028022,322081
2019-09-30,"San Francisco County","CA","San Francisco-Oakland-Hayward",65,4318,0.001647,0.007886,0.015649,180983
2019-09-30,"Baltimore County","MD","Baltimore-Columbia-Towson",66,1562,0.000417,0.002287,-0.008989,261612
2019-09-30,"Hamilton County","OH","Cincinnati",67,1145,0.010201,0.025471,0.033976,270738
2019-09-30,"El Paso County","TX","El Paso",68,938,0.002789,0.009284,-0.000903,242845
2019-09-30,"Montgomery County","PA","Philadelphia-Camden-Wilmington",69,1595,0.001658,0.010672,0.034729,288605
2019-09-30,"Worcester County","MA","Worcester",70,1429,0.000966,0.005381,0.033663,281242
2019-09-30,"Pierce County","WA","Seattle-Tacoma-Bellevue",71,1651,0.005801,0.019706,0.033876,288593
2019-09-30,"Essex County","NJ","New York-Newark-Jersey City",72,1667,0.005309,0.015318,0.020985,187184
2019-09-30,"Collin County","TX","Dallas-Fort Worth-Arlington",73,1528,0.001571,0.005877,0.002468,345089
2019-09-30,"Hidalgo County","TX","McAllen-Edinburg-Mission",74,826,-0.001194,-0.004342,-0.013817,203284
2019-09-30,"Monroe County","NY","Rochester",75,1211,-0.000582,0.001375,0.020274,249722
2019-09-30,"Essex County","MA","Boston-Cambridge-Newton",76,1921,0.005185,0.015802,0.051201,243456
2019-09-30,"Jefferson County","KY","Louisville/Jefferson County",77,1083,0.00439,0.026384,0.020495,264726
2019-09-30,"Multnomah County","OR","Portland-Vancouver-Hillsboro",78,1701,0.007606,0.017905,0.001396,274922
2019-09-30,"Suffolk County","MA","Boston-Cambridge-Newton",79,2842,0.006057,0.023715,0.097086,266867
2019-09-30,"Oklahoma County","OK","Oklahoma City",80,914,0.001611,0.008852,0.023114,280543
2019-09-30,"San Mateo County","CA","San Francisco-Oakland-Hayward",81,3622,0.001541,0.014407,0.031555,217541
2019-09-30,"Snohomish County","WA","Seattle-Tacoma-Bellevue",82,1921,0.001747,0.015412,0.039284,271364
2019-09-30,"Lake County","IL","Chicago-Naperville-Elgin",83,1588,0.000244,0.008556,0.021428,243584
2019-09-30,"Dekalb County","GA","Atlanta-Sandy Springs-Roswell",84,1406,0.007714,0.028481,0.065981,272890
2019-09-30,"Cobb County","GA","Atlanta-Sandy Springs-Roswell",85,1433,0.004582,0.018151,0.034489,277575
2019-09-30,"San Joaquin County","CA","Stockton-Lodi",86,1641,0.010526,0.023332,0.046997,204220
2019-09-30,"Will County","IL","Chicago-Naperville-Elgin",87,1532,0.015863,0.032723,0.036492,113264
2019-09-30,"Jackson County","MO","Kansas City",88,1030,0.002688,0.009025,0.007796,270861
2019-09-30,"Norfolk County","MA","Boston-Cambridge-Newton",89,2522,0.007069,0.025396,0.029676,256932
2019-09-30,"Denton County","TX","Dallas-Fort Worth-Arlington",90,1439,0.002954,-0.000186,-0.004561,283041
2019-09-30,"Bernalillo County","NM","Albuquerque",91,1144,0.005922,0.021701,0.002455,213476
2019-09-30,"Jefferson County","AL","Birmingham-Hoover",92,1007,0.003432,0.006685,0.006248,240113
2019-09-30,"Hudson County","NJ","New York-Newark-Jersey City",93,2227,0.005693,0.018965,0.034719,127724
2019-09-30,"Monmouth County","NJ","New York-Newark-Jersey City",94,2151,-0.001845,0.001608,0.013713,241288
2019-09-30,"Davidson County","TN","Nashville-Davidson--Murfreesboro--Franklin",95,1508,0.003434,0.015207,0.024136,259371
2019-09-30,"Providence County","RI","Providence-Warwick",96,1333,0.000033,0.009038,0.050007,198116
