"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"Opstad","WA","Seattle-Tacoma-Bellevue","King County","North Bend",13315,2204,0.000322,0.012418,0.053202,300
2019-09-30,"Timber Creek","CO","Fort Collins","Larimer County","Fort Collins",13316,2136,0.006143,0.018235,0.013425,226
2019-09-30,"Vinton Highlands","IN","Lafayette-West Lafayette","Tippecanoe County","Lafayette",13317,1841,0.005205,0.018677,-0.123836,321
2019-09-30,"The Fountains at Deerfield","TX","San Antonio-New Braunfels","Bexar County","San Antonio",13318,3134,0.004701,0.031656,0.132715,89
2019-09-30,"Coconino Estates","AZ","Flagstaff","Coconino County","Flagstaff",13319,2108,-0.014872,-0.026335,0.031967,515
2019-09-30,"Pelican Bay","TX","Dallas-Fort Worth-Arlington","Tarrant County","Azle",13320,1356,-0.000738,0.011101,-0.045802,176
2019-09-30,"Woodbine","VA","Virginia Beach-Norfolk-Newport News","Norfolk City","Norfolk",13321,1543,-0.000152,-0.002598,-0.033161,78
2019-09-30,"Monroe Heights","GA","Atlanta-Sandy Springs-Roswell","Fulton County","Atlanta",13322,1303,0.001759,0.008251,0.053475,228
2019-09-30,"College Hills","TN","Knoxville","Knox County","Knoxville",13323,957,0.00942,0.055778,0.071565,155
2019-09-30,"Gulf Branch","VA","Washington-Arlington-Alexandria","Arlington County","Arlington",13324,3565,-0.004252,0.001413,-0.142421,177
2019-09-30,"Foster Park","IN","Fort Wayne","Allen County","Fort Wayne",13325,1055,0.02926,0.079475,0.000421,140
2019-09-30,"Northend Recreation Center","MI","Flint","Genesee County","Flint",13326,589,0.004645,0.026748,0.100745,197
2019-09-30,"Dutch Hill","PA","Allentown-Bethlehem-Easton","Lehigh County","Allentown",13327,1177,0.020391,0.027019,-0.028121,240
2019-09-30,"Viking Park","MN","Rochester","Olmsted County","Rochester",13328,1019,-0.011737,0.027185,0.080546,121
2019-09-30,"Hillcrest","NC","Winston-Salem","Forsyth County","Winston-Salem",13329,1289,0.005917,0.014124,0.042608,43
2019-09-30,"Chapel Hill","TX","Lubbock","Lubbock County","Lubbock",13330,817,-0.017632,-0.017679,-0.030309,210
2019-09-30,"Country Club Gardens","OK","Tulsa","Tulsa County","Tulsa",13331,831,0.025113,0.036282,0.046241,38
2019-09-30,"Palo del Amo","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Torrance",13332,3638,0.006615,0.023656,0.01208,384
2019-09-30,"Doral Country Villa","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",13333,1440,0.00288,0.011718,-0.044229,385
2019-09-30,"Val Vista Classic","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Gilbert",13334,1515,0.004305,0.019489,0.080745,448
2019-09-30,"East Loveland","OH","Cincinnati","Clermont County","Loveland",13335,1486,0.006765,0.03641,0.06175,144
2019-09-30,"Greenview","IN","Fort Wayne","Allen County","Fort Wayne",13336,963,0.0041,0.000888,0.053412,183
2019-09-30,"Paver Park","FL","North Port-Sarasota-Bradenton","Sarasota County","Sarasota",13337,1723,-0.003722,-0.000201,0.056092,261
2019-09-30,"Red Fork - Park Grove","OK","Tulsa","Tulsa County","Tulsa",13338,790,0.004043,0.004197,-0.018921,513
2019-09-30,"Southwest Sequoyah","AR","Fayetteville-Springdale-Rogers","Washington County","Fayetteville",13339,1405,-0.002311,-0.005356,-0.025949,248
2019-09-30,"Downtown Riverfront","LA","Shreveport-Bossier City","Caddo Parish","Shreveport",13340,996,-0.008007,-0.003462,0.066037,159
2019-09-30,"Tourist District","WA","Seattle-Tacoma-Bellevue","King County","Woodinville",13341,2333,0.032335,0.116643,0.147896,12
2019-09-30,"Swannanoa","FL","Lakeland-Winter Haven","Polk County","Lakeland",13342,1129,0.014411,0.042745,0.059038,216
2019-09-30,"Green Forest Acres","GA","Atlanta-Sandy Springs-Roswell","Fulton County","Atlanta",13343,1453,0.003952,0.005292,0.057547,153
2019-09-30,"River Drive","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",13344,1469,0.027711,0.047665,0.0148,183
2019-09-30,"Pacific Palms","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Mesa",13345,1972,0.002604,0.020816,0.070705,124
2019-09-30,"Thompson Creek","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Claremont",13346,2921,0.000507,0.004426,0.00269,134
2019-09-30,"Merrimont Hills","NC","Winston-Salem","Forsyth County","Winston-Salem",13347,1403,0.006685,0.016272,0.045122,246
2019-09-30,"Westwood","KS","Lawrence","Douglas County","Lawrence",13348,1727,-0.028344,-0.076155,-0.016688,50
2019-09-30,"Deer Creek North","TX","Dallas-Fort Worth-Arlington","Tarrant County","Fort Worth",13349,1591,0.007356,0.024567,0.040666,295
2019-09-30,"Coachlight","MI","Lansing-East Lansing","Ingham County","Lansing",13350,802,-0.000444,-0.002874,-0.074966,216
2019-09-30,"Alligator Bayou","AL","Mobile","Mobile County","Mobile",13351,768,0.004931,0.000732,-0.065707,147
2019-09-30,"Downtown","CA","Bakersfield","Kern County","Tehachapi",13352,1233,0.002519,0.015031,0.061517,279
2019-09-30,"Pleasant Point","VA","Virginia Beach-Norfolk-Newport News","Norfolk City","Norfolk",13353,3023,0.003284,0.008158,-0.034082,104
2019-09-30,"Crystal Lake","TX","Dallas-Fort Worth-Arlington","Dallas County","Garland",13354,1618,0.003931,0.01754,0.021303,160
2019-09-30,"Bellfontaine","AL","Mobile","Mobile County","Theodore",13355,814,0.000849,0.013337,-0.005743,240
2019-09-30,"Raines Community","MS","Jackson","Hinds County","Jackson",13356,759,-0.004243,0.005532,0.017116,202
2019-09-30,"Edgewood Farms","NC","Winston-Salem","Forsyth County","Winston-Salem",13357,1298,0.001801,0.009721,0.012887,85
2019-09-30,"Mayfair","MS","Jackson","Hinds County","Jackson",13358,1131,0.013672,0.061796,0.053402,205
2019-09-30,"Yankee Hill","NE","Lincoln","Lancaster County","Lincoln",13359,1346,-0.004315,-0.001966,-0.08388,196
2019-09-30,"Town North Park II","TX","Dallas-Fort Worth-Arlington","Dallas County","Richardson",13360,1864,0.005095,0.021684,0.024635,215
2019-09-30,"Ty Cah","IA","Iowa City","Johnson County","Iowa City",13361,1331,-0.006885,-0.01105,-0.008615,240
2019-09-30,"Henderson Heights","OH","Columbus","Franklin County","Columbus",13362,1442,0.004486,-0.043672,0.024243,214
2019-09-30,"Shadow Hawk","WA","Seattle-Tacoma-Bellevue","King County","Renton",13363,2098,0.010748,0.035572,0.111977,262
2019-09-30,"Green Meadows","MO","Columbia","Boone County","Columbia",13364,1534,0.000202,0.003886,0.066127,198
