"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"Knoxville","TN","Knoxville","Knox County",52,1163,0.001679,0.013136,0.051501,140333
2019-09-30,"Baton Rouge","LA","Baton Rouge","East Baton Rouge Parish",53,1163,-0.00903,-0.018099,-0.00705,62879
2019-09-30,"Wichita","KS","Wichita","Sedgwick County",54,827,0.000494,0.008575,0.006201,137766
2019-09-30,"Tampa","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",55,1485,0.004305,0.016552,0.048353,146994
2019-09-30,"Aurora","CO","Denver-Aurora-Lakewood","Arapahoe County",56,1649,0.000589,0.005539,0.009903,134792
2019-09-30,"Riverside","CA","Riverside-San Bernardino-Ontario","Riverside County",57,2051,0.004466,0.017294,0.057171,85766
2019-09-30,"Bakersfield","CA","Bakersfield","Kern County",58,1232,0.007489,0.0222,0.036114,112829
2019-09-30,"Cincinnati","OH","Cincinnati","Hamilton County",59,1192,0.009858,0.027071,0.040814,106483
2019-09-30,"Pittsburgh","PA","Pittsburgh","Allegheny County",60,1267,-0.003854,-0.002488,0.034544,121959
2019-09-30,"Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange County",61,2463,0.002403,0.006484,-0.005362,69662
2019-09-30,"Santa Ana","CA","Los Angeles-Long Beach-Anaheim","Orange County",62,2445,0.003576,0.006964,-0.027547,53939
2019-09-30,"Columbia","SC","Columbia","Richland County",63,1017,-0.000264,-0.00131,0.011865,106656
2019-09-30,"Town of Islip","NY","New York-Newark-Jersey City","Suffolk County",64,2570,0.005445,0.009292,0.026616,19834
2019-09-30,"Marietta","GA","Atlanta-Sandy Springs-Roswell","Cobb County",65,1458,0.003941,0.014328,0.025731,115234
2019-09-30,"Vancouver","WA","Portland-Vancouver-Hillsboro","Clark County",66,1614,0.004323,0.017784,0.016601,106693
2019-09-30,"Corpus Christi","TX","Corpus Christi","Nueces County",67,1310,0.001299,0.012575,0.002626,101831
2019-09-30,"Saint Louis","MO","St. Louis","Saint Louis City",68,894,0.006863,0.027992,0.035827,118788
2019-09-30,"Greensboro","NC","Greensboro-High Point","Guilford County",69,936,0.010512,0.033462,0.058763,109815
2019-09-30,"Lexington","KY","Lexington-Fayette","Fayette County",70,1063,0.001284,0.014945,0.046495,106129
2019-09-30,"Fort Wayne","IN","Fort Wayne","Allen County",71,974,0.005759,0.028169,0.023018,107819
