"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"54867","WI",,"Sawyer County","Radisson",24994,923,-0.000566,0.001806,0.02394,43
2019-09-30,"62282","IL","St. Louis","Saint Clair County","Marissa",24995,827,0.006158,0.016464,-0.066951,248
2019-09-30,"64723","MO","Kansas City","Bates County","Amsterdam",24996,880,0.000692,-0.001178,-0.001448,232
2019-09-30,"62943","IL",,"Johnson County","Grantsburg",24997,1020,0.010829,0.020043,-0.036949,182
2019-09-30,"68743","NE","Sioux City","Dakota County","Jackson",24998,1154,0.004396,0.025007,0.070402,217
2019-09-30,"66852","KS",,"Coffey County","Gridley",24999,821,-0.010378,-0.006261,0.006354,276
2019-09-30,"72682","AR",,"Marion County","Yellville",25000,885,0.003668,0.036648,0.030303,62
2019-09-30,"12436","NY",,"Greene County","Town of Hunter",25001,1333,0.028117,0.030843,-0.070954,319
2019-09-30,"02637","MA","Barnstable Town","Barnstable County","Barnstable",25002,2225,-0.011523,0.022296,0.141424,97
2019-09-30,"15634","PA","Pittsburgh","Westmoreland County","Grapeville",25003,748,-0.003864,-0.007443,-0.023956,81
2019-09-30,"21612","MD","Easton","Talbot County","Bozman",25004,1937,-0.007129,-0.024964,-0.027292,334
2019-09-30,"41234","KY",,"Johnson County","Paintsville",25005,821,-0.003514,-0.006561,-0.019111,135
2019-09-30,"54769","WI",,"Pepin County","Stockholm",25006,1011,0.006078,0.001527,-0.002378,68
2019-09-30,"57450","SD",,"Potter County","Hoven",25007,731,0.019563,-0.026788,-0.143019,136
2019-09-30,"59472","MT","Great Falls","Cascade County","Sand Coulee",25008,1200,0.000335,0.014462,0.039802,191
2019-09-30,"61432","IL","Canton","Fulton County","Fairview",25009,1021,0.007432,0.025994,0.007785,16
2019-09-30,"58843","ND","Williston","Williams County","Epping",25010,1289,-0.000453,-0.019467,-0.144129,61
2019-09-30,"62880","IL",,"Fayette County","Saint Peter",25011,1036,0.008638,0.023791,0.083637,45
2019-09-30,"62947","IL",,"Hardin County","Herod",25012,1084,0.005456,-0.007995,-0.109963,37
2019-09-30,"64637","MO","Kansas City","Caldwell County","Cowgill",25013,886,0.001511,0.004309,0.040481,281
2019-09-30,"67444","KS",,"Rice County","Geneseo",25014,773,0.006259,0.019125,0.025494,342
2019-09-30,"68627","NE",,"Boone County","Cedar Rapids",25015,949,0.007638,0.017372,0.016047,283
2019-09-30,"74452","OK",,"Mayes County","Peggs",25016,799,-0.001522,-0.008324,-0.007822,104
2019-09-30,"73639","OK","Weatherford","Custer County","Custer City",25017,833,-0.03703,-0.118124,-0.043375,241
2019-09-30,"74457","OK","Tahlequah","Cherokee County","Scraper",25018,932,-0.024185,-0.044914,0.075956,179
2019-09-30,"74748","OK","Durant","Bryan County","Kenefic",25019,928,0.003569,0.028451,0.114139,149
2019-09-30,"95424","CA","Clearlake","Lake County","Clearlake",25020,1437,0.012713,0.056895,0.013359,575
2019-09-30,"93452","CA","San Luis Obispo-Paso Robles-Arroyo Grande","San Luis Obispo County","San Simeon",25021,2225,-0.008646,-0.016775,0.035688,223
2019-09-30,"97910","OR","Ontario","Malheur County","Jordan Valley",25022,1346,0.040573,0.152821,-0.0397,175
2019-09-30,"05866","VT",,"Caledonia County","Sheffield",25023,1398,-0.004346,-0.023162,0.017101,67
2019-09-30,"18912","PA","Philadelphia-Camden-Wilmington","Bucks County","Buckingham Township",25024,1898,0.027441,0.061538,0.090292,43
2019-09-30,"27826","NC",,"Hyde County","Fairfield",25025,1001,0.013416,0.033733,0.047636,290
2019-09-30,"24715","WV","Bluefield","Mercer County","Bramwell",25026,530,-0.017238,-0.036398,-0.152369,192
2019-09-30,"50271","IA",,"Hamilton County","Williams",25027,838,0.001998,0.005315,-0.076364,293
2019-09-30,"50578","IA",,"Emmet County","Ringsted",25028,757,0.0009,0.010089,0.018377,319
2019-09-30,"52222","IA",,"Poweshiek County","Deep River",25029,968,-0.001231,0.024222,0.042607,284
2019-09-30,"52621","IA","Iowa City","Washington County","Crawfordsville",25030,883,-0.001367,0.002364,0.00424,298
2019-09-30,"58653","ND",,"Bowman County","Scranton",25031,791,0.002525,0,0,9
2019-09-30,"62942","IL","Carbondale-Marion","Jackson County","Grand Tower",25032,613,-0.047995,-0.083569,-0.348625,132
2019-09-30,"01242","MA","Pittsfield","Berkshire County","Lenox",25033,1320,-0.016629,-0.026667,0.058074,63
2019-09-30,"05853","VT",,"Orleans County","Morgan",25034,1351,-0.022735,-0.016094,0.137594,151
2019-09-30,"15054","PA","Pittsburgh","Washington County","Smith Township",25035,845,-0.013316,0.011516,-0.038628,285
2019-09-30,"17936","PA","Pottsville","Schuylkill County","Gordon",25036,768,0.037793,0.089219,0.061076,296
2019-09-30,"23092","VA",,"Middlesex County","Locust Hill",25037,1426,0.004511,0.015033,-0.00085,324
2019-09-30,"26151","WV",,"Calhoun County","Grantsville",25038,787,0.001825,0.019783,-0.006925,113
2019-09-30,"32681","FL","Ocala","Marion County","Ocala",25039,1113,0.015206,0.057085,0.07118,13
2019-09-30,"33835","FL","Lakeland-Winter Haven","Polk County","Mulberry",25040,1096,0.011001,0.0416,0.019448,52
2019-09-30,"41527","KY",,"Pike County","Forest Hills",25041,905,0.007874,0.032456,0.022449,139
2019-09-30,"47244","IN","Columbus","Bartholomew County","Hartsville",25042,1111,0.020692,0.018741,-0.013353,291
2019-09-30,"51453","IA",,"Calhoun County","Lohrville",25043,801,-0.000349,0.000287,0.018246,275
2019-09-30,"56657","MN","Grand Rapids","Itasca County","Marcell",25044,1145,-0.008856,-0.001614,-0.095131,160
2019-09-30,"57428","SD","Aberdeen","Edmunds County","Bowdle",25045,674,-0.034395,-0.053773,0.056461,164
2019-09-30,"56369","MN","St. Cloud","Stearns County","Cold Spring",25046,1088,0.012331,0.035627,-0.045991,197
2019-09-30,"63656","MO",,"Iron County","Ironton",25047,717,0.002322,0.006781,0.02258,192
2019-09-30,"63463","MO","Hannibal","Marion County","Philadelphia",25048,861,0.004011,0.008508,-0.027867,219
2019-09-30,"64001","MO","Kansas City","Lafayette County","Alma",25049,888,0.001099,0.006949,-0.00896,312
2019-09-30,"74833","OK",,"Okfuskee County","Castle",25050,890,0.004116,0.024665,0.133049,219
2019-09-30,"83112","WY",,"Lincoln County","Bedford",25051,1280,-0.00135,-0.003795,0.095863,441
2019-09-30,"84649","UT",,"Millard County","Oak City",25052,1420,0.009493,0.030376,0.075908,31
